Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral,Na2O + K2O,TAS,Rocknames
782A-23X-6-135-137_64,53.47,0.93,13.7,10.76,0.1,4.17,7.78,2.83,0.3,0.11,,Glass,3.13,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
Mt. Spagnolo_Spa-11,45.41,1.96,19.01,6.29,0.12,1.68,14.01,4.68,1.8,1.06,,Glass,6.4799999999999995,U1,"['Tephrite', 'Foid Gabbro']"
PRO 7/8_10D-MI2,48.2,1.29,15.2,9.5,0.05,5.58,11.4,3.25,4.77,0.75,,Glass,8.02,U2,"['Phonotephrite', 'Foid Monzodiorite']"
_GTg3-14,49.17,0.43,13.14,7.66,0.13,11.82,10.82,1.87,0.21,,0.99,Glass,2.08,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
MHL-05_+11_2,49.7576,3.1644,13.0899,14.607,0.251,5.2887,10.0516,3.2038,0.4652,0.3441,,Glass,3.669,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
ZB06-2_ZB-1-11-6,50.32,1.54,15.66,11.12,0.2,8.07,9.41,2.88,0.42,0.19,,Glass,3.3,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
BN1997-98_A3pt20 g.o.,48.71,1.83,16.1,10.57,0.25,3.49,7.42,5.22,3.4,1.11,,Glass,8.62,U2,"['Phonotephrite', 'Foid Monzodiorite']"
200676_76_21,66.51,1.17,16.91,1.59,0.04,0.07,1.04,5.26,6.41,0.53,,Glass,11.67,T1,"['Trachyte', 'Syenite']"
BRM_5,50.49,0.94,19.02,7.02,0.1,3.94,10.36,3.9,0.82,0.35,,Glass,4.72,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
br1-3-3-2012_br1-3-3-2012,47.69,1.06,17.14,10.96,0.19,6.05,10.24,2.91,0.54,0.2,,Glass,3.45,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
CMB_MI-6,59.82,0.45,17.68,3.26,0.16,0.38,2.03,4.77,7.8,0.07,,Glass,12.57,T1,"['Trachyte', 'Syenite']"
KR99/96_KR99/96-29,54.75,1.09,16.18,8.44,0.13,3.85,8.19,3.39,0.9,0.14,,Glass,4.29,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
