Citation,Volcano,SampleID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral,Host
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B20b,52.58,1.33,16.46,10.11,0.19,4.62,9.66,3.87,0.78,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B23,53.3,1.32,16.43,10.18,0.19,4.57,9.81,3.09,0.72,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B24,51.86,1.2,14.41,12.51,0.24,5.24,9.08,4.32,0.53,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B25,54,1.25,16.03,9.98,0.17,4.97,9.24,3.13,0.75,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B25b,53.17,1.23,15.99,10.01,0.16,4.91,9.33,4,0.76,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B25c,53.85,1.25,16,9.88,0.18,4.62,9.38,3.61,0.74,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B25d,53.94,1.23,16.12,10.08,0.2,4.69,9.42,3.1,0.8,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B25e,53.82,1.28,16.06,10.08,0.19,4.57,9.45,3.29,0.77,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B25f,53.96,1.27,16.02,10.46,0.19,4.38,9.51,3.01,0.78,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B25g,54.13,1.25,15.88,10.07,0.21,4.56,9.35,3.29,0.77,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_B4,52.27,1.53,15.48,12.53,0.21,4.62,8.85,3.28,0.77,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C1,53.2,1.3,16.46,10.08,0.19,4.18,9.91,3.42,0.76,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C10,54.5,1.63,13.14,12.19,0.21,4.97,8.22,3.95,0.82,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C10b,53.94,1.69,13.29,12.93,0.25,4.54,8.82,3.11,0.8,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C10c,52.31,1.37,14.5,13.2,0.23,5.38,8.82,3.15,0.55,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C11,54.68,1.78,13.57,12.17,0.2,4.7,8.33,3.14,0.96,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C13,53.74,1.25,16.28,9.93,0.17,4.82,9.26,3.23,0.78,0.11,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C13b,53.9,1.24,16.33,9.92,0.19,4.17,9.66,3.46,0.73,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C13c,53.57,1.23,16.18,9.97,0.17,4.61,9.39,3.71,0.78,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C13d,52.94,1.24,16.37,10.31,0.21,4.43,9.96,3.32,0.7,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C13e,53.62,1.08,15.99,10.03,0.2,4.28,9.91,3.79,0.59,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C14,49.79,0.97,18.65,10.06,0.17,5.37,10.73,3.24,0.49,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C14b,53.46,1.32,16.05,9.9,0.16,4.46,9.52,4,0.76,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C15,52.82,1.26,16.16,10.26,0.2,4.68,9.54,3.92,0.76,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C17,52.85,1.27,16.41,10.37,0.2,4.74,9.82,3.14,0.69,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C2,53.1,1.2,16.24,10.17,0.19,4.41,9.65,3.91,0.73,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C7,53.48,1.26,16.2,10.02,0.2,4.73,9.29,3.67,0.76,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_C7b,52.76,1.17,15.61,11.65,0.23,5.43,9.23,2.77,0.73,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_D10,55.23,1.27,14.68,11.01,0.21,4.55,8.4,3.4,0.92,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_D10b,54.51,1.36,14.58,11.35,0.21,4.35,8.48,3.7,0.95,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_D11,54.84,1.52,13.6,11.84,0.21,4.65,8.71,3.33,0.96,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_D12,55.2,1.71,13.49,11.84,0.24,4.24,7.87,3.77,1.14,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_D14,54.07,1.26,16.11,9.74,0.18,4.84,9.3,3.33,0.75,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_D15,52.06,1,17.2,9.8,0.19,6.02,9.21,3.44,0.58,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_D16,52.85,1.24,16.19,10.24,0.18,5.24,9.33,3.57,0.74,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_D3,53.03,1.28,16.52,10.14,0.16,4.7,9.64,3.38,0.75,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_D5,52.8,1.28,16.28,10.37,0.19,4.78,9.64,3.49,0.74,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_E3,54.73,1.74,13.29,12.7,0.2,4.29,8.05,3.6,0.9,0.13,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_E7,53.98,1.28,16.14,9.98,0.2,4.97,9.24,3,0.82,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-338_8LM-338_E7b,53.45,1.25,16.22,9.92,0.2,4.93,9.19,3.6,0.84,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A11,54.66,1.6,13.48,12.55,0.24,4.98,8.34,2.72,0.9,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A15,54.47,1.2,16.82,9.6,0.18,3.47,9.73,3.33,0.8,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A17,54.33,1.75,13.34,12.85,0.21,4.18,8.34,3.47,0.9,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A19,52.92,1.27,15.92,10.38,0.21,5.34,9.63,3.29,0.66,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A20,53.39,1.66,13.79,12.14,0.23,5.98,8.65,2.96,0.75,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A21,51.95,1.08,15.68,13.25,0.25,5.1,8.95,2.87,0.56,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A22,53.45,1.3,15.8,10.33,0.2,5.45,9.54,2.83,0.71,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A26,54.54,1.49,13.95,11.97,0.23,4.98,8.44,3.17,0.83,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A27,51.52,1.77,13.38,14.35,0.23,5.06,9.01,3.34,0.52,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A29b,52.23,1.27,16.83,10.52,0.2,5.1,9.51,3.2,0.73,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A32,53.31,1.71,14.09,12.04,0.24,5.06,9.06,3.14,0.81,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A41,53.64,1.05,18.12,8.5,0.16,4.35,9.59,3.46,0.67,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A41b,56.84,1.32,15.53,9.62,0.16,3.72,7.79,3.46,1.18,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A41c,52.23,1.2,18.36,8.65,0.13,4.51,10.11,3.64,0.64,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A43,54.98,1.57,13.96,11.14,0.17,5.03,8.86,3.09,0.81,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A44,54.5,1.83,13.43,12.68,0.19,4.42,8.53,2.79,1.11,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A44b,54.38,1.77,13.51,12.23,0.21,4.85,8.25,3.23,1.08,0.15,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A9,52.27,1.67,13.7,13.75,0.26,4.91,9.12,3.12,0.51,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A9b,52.76,1.25,15.97,10.24,0.19,5.27,9.6,3.7,0.62,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_A9c,55.57,1.6,14.01,11.24,0.23,4.28,9.01,2.81,0.83,0.1,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B10b,56.62,1.29,15.41,9.58,0.16,3.62,7.85,3.84,1.28,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B19,54.28,1.55,13.63,12.1,0.23,4.96,8.46,3.41,0.84,0.14,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B2,55.94,1.86,14.07,9.95,0.2,4.76,8.2,3.38,1.14,0.1,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B20,53.66,1.78,13.29,12.07,0.22,5.14,9.14,3.43,0.76,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B20c,54.5,1.83,13.94,11.4,0.21,4.74,9.57,2.45,0.88,0.16,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B23b,54.96,1.81,15.07,10.25,0.16,3.54,8.99,3.56,0.99,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B23c,54.97,1.76,15.41,10.4,0.2,3.44,9.07,3.1,0.97,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B23d,51.62,2.04,14.97,11.24,0.24,4.22,10.06,3.25,0.82,1.1,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B24,52.32,1.26,16.16,10.52,0.19,5.19,10.09,3.2,0.66,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B29,53.03,1.26,15.91,10.32,0.2,5.5,9.68,3.07,0.61,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B31,54.61,1.66,14.14,11.02,0.2,4.46,9.1,3.46,0.83,0.16,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B31b,52.86,1.27,16.11,10.42,0.21,5.1,9.65,3.28,0.7,,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B34,53.06,1.33,15.05,10.94,0.2,5.28,9.71,3.32,0.61,0,,,Glass,Olivine
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-339_8LM-339_B36,54.11,1.64,14.24,11.47,0.21,4.53,8.96,3.45,0.88,0,,,Glass,Olivine
