Citation,Volcano,Sample ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral
"Wysoczanski, R.J., Handler, M.R., Schipper, C.I., Leybourne, M.I., Creech, J., Rotella, M.D., Nichols, A.R.L., Wilson, C.J.N. and Stewart, R.B., 2012. The tectonomagmatic source of ore metals and volatile elements in the southern Kermadec arc. Economic Geology, 107(8), pp.1539-1556.",RUMBLE IV,X354_6,52.13,1.13,14.53,11.92,0.19,5.31,9.18,2.87,0.48,,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,SEC09-1_SEC-1-4-4-1,48.62,1.63,17.6,8.05,0.13,8.33,10.4,3.12,1.21,0.12,,,Glass
"Venugopal, S., Moune, S. and Williams-Jones, G., 2016. Investigating the subsurface connection beneath Cerro Negro volcano and the El Hoyo Complex, Nicaragua. Journal of Volcanology and Geothermal Research, 325, pp.211-224.",LAS PILAS (EL HOYO),LP39_MI1,51.72,1.08,14.92,11.94,0.18,4.45,9.28,2.89,1.06,0.15,,,Glass
"Stock, M.J., Humphreys, M.C., Smith, V.C., Isaia, R., Brooker, R.A. and Pyle, D.M., 2018. Tracking volatile behaviour in sub-volcanic plumbing systems using apatite and glass: insights into pre-eruptive processes at Campi Flegrei, Italy. Journal of Petrology, 59(12), pp.2463-2492.",CAMPI FLEGREI,Astroni 1_CF69_cpx_75_mi_1,57.2,0.48,17.79,3.15,0.12,0.67,2.32,4.32,8.33,0.11,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,ELK02-1_02-023-4-B1,49.41,1.54,15.62,13.5,0.22,7.0,9.4,3.96,0.72,0.42,,,Glass
"Johnson, E.R., Wallace, P.J., Delgado Granados, H., Manea, V.C., Kent, A.J., Bindeman, I.N. and Donegan, C.S., 2009. Subduction-related volatile recycling and magma generation beneath Central Mexico: insights from melt inclusions, oxygen isotopes and geodynamic models. Journal of Petrology, 50(9), pp.1729-1764.",CERRO PELON,CEP-9_2_,51.86,1.12,19.85,6.98,0.05,4.12,8.77,4.12,0.91,0.36,,,Glass
"Portnyagin, M.V., Naumov, V.B., Mironov, N.L., Belousov, I.A. and Kononkova, N.N., 2011. Composition and evolution of the melts erupted in 1996 at Karymskoe Lake, Eastern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 49(11), pp.1085-1110.",KARYMSKY,KR96BV_KR96BV-9,52.77,1.11,15.69,10.93,0.22,3.96,6.72,3.67,1.12,0.09,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,BLW03-1_03-048-16.1,46.8,1.8,17.81,10.62,0.14,8.65,10.57,2.86,0.52,0.5,,,Glass
"Métrich, N. and Deloule, E., 2014. Water content, ?D and ?11B tracking in the Vanuatu arc magmas (Aoba Island): Insights from olivine-hosted melt inclusions. Lithos, 206, pp.400-408.",AOBA,Aoba-AO24_AO24-33,49.47,1.08,16.53,7.48,,5.13,11.17,3.32,1.8,,,,Glass
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,2002S_ 2002/3S-24,45.67,1.78,16.49,11.05,0.18,3.68,8.88,4.53,3.01,0.59,,,Glass
"Druitt, T. H.,M. Mercier, L. Florentin, E. Deloule, N. Cluzel, T. Flaherty, E. Médard, A. Cadoux; Magma Storage and Extraction Associated with Plinian and Interplinian Activity at Santorini Caldera (Greece), Journal of Petrology, Volume 57, Issue 3, 1 March 2016, Pages 461–494, https://doi.org/10.1093/petrology/egw015",SANTORINI,S82-11_3-61-A,70.24,0.35,13.42,1.81,,0.33,1.45,4.63,3.32,,,,Glass
"Manzini, M., Bouvier, A.S., Barnes, J.D., Bonifacie, M., Rose-Koga, E.F., Ulmer, P., Métrich, N., Bardoux, G., Williams, J., Layne, G.D. and Straub, S., 2017. SIMS chlorine isotope analyses in melt inclusions from arc settings. Chemical Geology, 449, pp.112-122.",AOBA,AO3_3-4,48.75,0.7,13.92,11.62,0.19,5.3,10.35,2.45,1.46,,,,Glass
"Zimmer, M.M., Plank, T., Hauri, E.H., Yogodzinski, G.M., Stelling, P., Larsen, J., Singer, B., Jicha, B., Mandeville, C. and Nye, C.J., 2010. The role of water in generating the calc-alkaline trend: new volatile data for Aleutian magmas and a new tholeiitic index. Journal of Petrology, 51(12), pp.2411-2444. doi:10.1093/petrology/egq062",AUGUSTINE,05AUNY10_oliv2mi1,49.37,0.86,17.28,7.42,0.17,3.09,11.07,1.89,0.35,0.2,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-41X-2-53-55_112,64.89,0.59,14.8,4.64,0.1,1.31,4.16,3.95,1.01,0.21,,,Glass
"Portnyagin, M.V., Naumov, V.B., Mironov, N.L., Belousov, I.A. and Kononkova, N.N., 2011. Composition and evolution of the melts erupted in 1996 at Karymskoe Lake, Eastern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 49(11), pp.1085-1110.",KARYMSKY,KR96BV_KR96BV-52,55.34,0.98,16.55,8.57,0.14,3.48,7.18,3.15,1.04,0.22,,,Glass
"Iddon, F. and Edmonds, M., 2020. Volatile?rich magmas distributed through the upper crust in the Main Ethiopian Rift. Geochemistry, Geophysics, Geosystems, 21(6), p.e2019GC008904.",KONE,MER139A_MI128,72.94,0.16,8.19,6.47,0.34,,0.2,4.36,4.05,,,,Glass
"Corsaro, R.A. and Métrich, N., 2016. Chemical heterogeneity of Mt. Etna magmas in the last 15 ka. Inferences on their mantle sources. Lithos, 252, pp.123-134.",ETNA,NEC 271195_OL12,48.11,1.01,16.5,10.82,,4.19,8.58,4.22,2.71,0.75,,,Glass
"Rowe, Michael C. , David W. Peate, Ingrid Ukstins Peate; An Investigation into the Nature of the Magmatic Plumbing System at Paricutin Volcano, Mexico, Journal of Petrology, Volume 52, Issue 11, 1 November 2011, Pages 2187–2220, https://doi.org/10.1093/petrology/egr044",PARICUTIN,FP-20-49 (116289-15)_15-4-3A,57.69,0.76,16.64,7.9,0.13,4.05,6.24,3.06,1.43,0.28,,,Glass
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",SARIGAN,Sari15-04_1,45.7,1.17,17.27,11.15,0.25,5.95,10.72,2.62,0.51,0.2,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",GUGUAN,AS03-GUGU-03_GUG-3_30 ,51.66,1.12,14.84,12.37,0.26,4.88,7.6,2.9,0.56,0.12,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,SEC09-1_SEC-1-4-4-3,47.66,1.1,15.29,11.35,0.14,12.76,8.83,2.77,0.57,0.2,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",PAGAN,AS03-PAGAN-5_PAGAN5-2_16 ,47.97,0.89,15.61,11.48,0.26,5.7,11.33,2.43,0.65,0.14,,,Glass
"Venugopal, S., Moune, S. and Williams-Jones, G., 2016. Investigating the subsurface connection beneath Cerro Negro volcano and the El Hoyo Complex, Nicaragua. Journal of Volcanology and Geothermal Research, 325, pp.211-224.",LAS PILAS (EL HOYO),LP2_MI2,53.0,1.2,14.1,10.9,0.22,4.82,8.73,2.93,1.21,,,,Glass
"Myers, M.L., Geist, D.J., Rowe, M.C., Harpp, K.S., Wallace, P.J. and Dufek, J., 2014. Replenishment of volatile-rich mafic magma into a degassed chamber drives mixing and eruption of Tungurahua volcano. Bulletin of Volcanology, 76(11), pp.1-17.",TUNGURAHUA,2010_OLIVINE06 #5,60.85,1.15,16.91,5.96,0.12,2.1,5.8,5.2,1.87,0.34,,,Glass
"Hudgins, T.R., Mukasa, S.B., Simon, A.C., Moore, G. and Barifaijo, E., 2015. Melt inclusion evidence for CO 2-rich melts beneath the western branch of the East African Rift: implications for long-term storage of volatiles in the deep lithospheric mantle. Contributions to Mineralogy and Petrology, 169(5), p.46.",BUFUMBIRA,08WR-13_08WR-13-11A,41.44,3.77,12.8,11.42,0.15,9.62,16.13,2.23,3.87,0.78,,,Glass
"Portnyagin, M.V., Naumov, V.B., Mironov, N.L., Belousov, I.A. and Kononkova, N.N., 2011. Composition and evolution of the melts erupted in 1996 at Karymskoe Lake, Eastern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 49(11), pp.1085-1110.",KARYMSKY,KR99/96_KR99/96-26,53.49,1.03,16.33,8.61,0.15,3.78,8.04,3.44,0.92,0.18,,,Glass
Hartleyetal2018,HOLUHRAUN,H14-8-MI1_R,49.47,1.5,14.32,11.45,0.2,7.67,11.9,2.25,0.2,0.17,0.01,0.0,Glass
"Portnyagin, M.V., Naumov, V.B., Mironov, N.L., Belousov, I.A. and Kononkova, N.N., 2011. Composition and evolution of the melts erupted in 1996 at Karymskoe Lake, Eastern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 49(11), pp.1085-1110.",KARYMSKY,KR99/96_KR99/96-23,54.27,1.08,16.24,8.6,0.19,3.89,7.94,3.53,0.96,0.14,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",MAUG,04 MAUG-3_MAUG03rh_79B,44.75,0.92,13.42,20.11,0.31,8.36,8.58,1.99,0.19,0.05,,,Glass
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",ALAMAGAN,Ala03_8,53.93,1.08,15.36,10.55,0.21,3.96,8.67,2.61,1.56,0.25,,,Glass
"Robidoux, P., Rotolo, S.G., Aiuppa, A., Lanzo, G. and Hauri, E.H., 2017. Geochemistry and volatile content of magmas feeding explosive eruptions at Telica volcano (Nicaragua). Journal of Volcanology and Geothermal Research, 341, pp.131-148.",TELICA,TEL01_A,60.22,0.96,17.24,5.87,0.23,1.56,5.42,3.63,2.4,0.3,,,Glass
"Venugopal, S., Moune, S. and Williams-Jones, G., 2016. Investigating the subsurface connection beneath Cerro Negro volcano and the El Hoyo Complex, Nicaragua. Journal of Volcanology and Geothermal Research, 325, pp.211-224.",CERRO NEGRO,CN-2_MI99L,46.48,0.76,17.08,10.55,0.07,6.23,10.31,1.93,0.31,0.17,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",NIIJIMA,Niij-04_NIJ-04_17,48.98,0.96,17.63,7.95,0.13,5.05,10.05,2.74,0.49,0.14,,,Glass
"Anderson, 1979, Water in some hypersthenic magmas",PAVLOF,J-1_26-1-4,50.1,1.38,18.3,11.7,,4.4,10.4,3.1,0.58,,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,brn1-MA-1_brn1-MA-1,54.13,1.55,14.67,11.27,0.19,4.85,8.29,3.16,0.87,0.27,,,Glass
"Rasmussen, D.J., Plank, T.A., 2021. Melt inclusion data for the central-eastern Aleutian volcanoes. Earthchem data submission.",AKUTAN,AK-TAP-18A_TAP18AMI04,44.66,1.14,21.1,10.33,0.2,3.71,12.36,2.84,0.36,0.09,,,Glass
"Hudgins, T.R., Mukasa, S.B., Simon, A.C., Moore, G. and Barifaijo, E., 2015. Melt inclusion evidence for CO 2-rich melts beneath the western branch of the East African Rift: implications for long-term storage of volatiles in the deep lithospheric mantle. Contributions to Mineralogy and Petrology, 169(5), p.46.",BUFUMBIRA,08WR-16_08WR-16-10,44.36,3.63,10.55,9.59,0.13,8.58,17.69,1.87,2.99,0.62,,,Glass
"Ruscitto, D.M., Wallace, P.J., Johnson, E.R., Kent, A.J.R. and Bindeman, I.N., 2010. Volatile contents of mafic magmas from cinder cones in the Central Oregon High Cascades: Implications for magma formation and mantle conditions in a hot arc. Earth and Planetary Science Letters, 298(1-2), pp.153-161.","HIGH CASCADES, COLLIER CONE",EJYO2_EJ-A,51.95,1.32,17.58,6.93,0.12,4.76,8.51,4.0,0.83,0.31,,,Glass
"Straub, S.M. and Layne, G.D., 2003. The systematics of chlorine, fluorine, and water in Izu arc front volcanic rocks: implications for volatile recycling in subduction zones. Geochimica et Cosmochimica Acta, 67(21), pp.4179-4203.",,"125-782A-2H-4,113-114_7A",60.74,1.0,12.54,10.68,0.29,0.32,4.7,3.0,0.72,0.13,,,Glass
"Esposito, R. J. Bodnar, L. V. Danyushevsky, B. De Vivo, L. Fedele, J. Hunter, A. Lima, N. Shimizu; Volatile Evolution of Magma Associated with the Solchiaro Eruption in the Phlegrean Volcanic District (Italy), Journal of Petrology, Volume 52, Issue 12, 1 December 2011, Pages 2431–2460, https://doi.org/10.1093/petrology/egr051",CAMPI FLEGREI,RESC3_RESC3-O10-MD,48.01,1.21,15.74,7.38,0.1,4.99,10.73,2.38,2.7,0.45,,,Glass
"Portnyagin, M.V., Naumov, V.B., Mironov, N.L., Belousov, I.A. and Kononkova, N.N., 2011. Composition and evolution of the melts erupted in 1996 at Karymskoe Lake, Eastern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 49(11), pp.1085-1110.",KARYMSKY,KR96BV_KR96BV-3,52.09,1.08,16.57,9.84,0.18,4.07,8.09,3.62,0.76,0.11,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,BC02-1_03-016-28.1,48.8,1.42,17.73,10.52,0.15,8.85,9.35,3.36,0.58,0.38,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,RC07-4_RC-4-5-3-2,50.27,1.7,18.71,7.02,0.08,6.47,11.03,3.7,0.63,0.32,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-36X-2-66-68_104,56.71,0.91,15.8,6.79,0.22,1.57,5.5,3.53,1.44,0.27,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_CHu1-3,56.91,0.01,9.7,5.87,0.14,14.9,5.82,1.08,0.53,,0.82,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_D55R3B-MIN3-MI6 ,55.84,0.78,15.71,8.17,0.17,3.7,7.82,3.18,0.62,0.11,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_OTb2-2,55.75,0.19,10.53,8.12,0.21,12.48,9.02,1.32,0.3,,0.31,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",MARIANA TROUGH,ALV-1833-1_ALV1833-1_26,51.53,1.36,17.22,7.73,0.15,5.1,10.6,3.41,0.48,0.2,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",SARIGAN,04 Sari-15-02_Sari-15-02_20,48.04,0.58,15.02,8.86,0.17,6.91,14.14,1.46,0.24,0.06,,,Glass
"Moretti, R., Métrich, N., Arienzo, I., Di Renzo, V., Aiuppa, A. and Allard, P., 2018. Degassing vs. eruptive styles at Mt. Etna volcano (Sicily, Italy). Part I: Volatile stocking, gas fluxing, and the shift from low-energy to highly explosive basaltic eruptions. Chemical Geology, 482, pp.1-17.",ETNA,SEC Feb. 1999_BNC 2 ,49.6,1.91,17.13,10.11,0.31,3.57,8.26,5.08,2.97,0.98,,,Glass
"Zimmer, M.M., Plank, T., Hauri, E.H., Yogodzinski, G.M., Stelling, P., Larsen, J., Singer, B., Jicha, B., Mandeville, C. and Nye, C.J., 2010. The role of water in generating the calc-alkaline trend: new volatile data for Aleutian magmas and a new tholeiitic index. Journal of Petrology, 51(12), pp.2411-2444. doi:10.1093/petrology/egq062",OKMOK,03OK33-1-JEB_cpx9mi1,51.56,1.15,16.18,10.01,0.22,5.19,9.19,2.76,0.61,0.09,,,Glass
"Tolstykh, M.L., Naumov, V.B., Gavrilenko, M.G., Ozerov, A.Y. and Kononkova, N.N., 2012. Chemical composition, volatile components, and trace elements in the melts of the Gorely volcanic center, southern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 50(6), pp.522-550.",GORELY,GOR-60_42,59.06,1.72,13.43,7.89,0.14,2.15,5.04,3.79,2.99,,,,Glass
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",SARIGAN,Sari15-04_10,47.71,0.67,16.31,9.58,0.22,6.63,13.34,1.62,0.23,0.05,,,Glass
"Straub, S.M. and Layne, G.D., 2003. The systematics of chlorine, fluorine, and water in Izu arc front volcanic rocks: implications for volatile recycling in subduction zones. Geochimica et Cosmochimica Acta, 67(21), pp.4179-4203.",,"125-782A-2H-4,113-114_13A",72.13,0.43,11.85,2.65,0.07,0.49,2.14,3.59,1.21,0.07,,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_U1438D-61R5W-I3 ,52.67,1.44,13.01,10.78,0.22,5.77,9.49,2.74,0.56,0.27,,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_U1438E-13CC-I5 ,57.98,0.85,14.79,9.25,0.15,3.18,7.66,2.87,0.6,0.03,,,Glass
"Field, L., Blundy, J., Brooker, R.A., Wright, T. and Yirgu, G., 2012. Magma storage conditions beneath Dabbahu Volcano (Ethiopia) constrained by petrology, seismicity and satellite geodesy. Bulletin of Volcanology, 74(5), pp.981-1004.",DABBAHU,55_055 e,71.36,0.34,7.63,5.26,0.2,,0.11,5.11,4.13,,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,AV06-1_AV-1-6-3,51.91,1.81,14.53,9.82,0.18,8.13,9.53,2.79,0.59,0.36,,,Glass
"Zimmer, M.M., Plank, T., Hauri, E.H., Yogodzinski, G.M., Stelling, P., Larsen, J., Singer, B., Jicha, B., Mandeville, C. and Nye, C.J., 2010. The role of water in generating the calc-alkaline trend: new volatile data for Aleutian magmas and a new tholeiitic index. Journal of Petrology, 51(12), pp.2411-2444. doi:10.1093/petrology/egq062",SEGUAM,SEG0706_cpx1mi1 ,56.29,1.34,14.59,11.08,0.23,3.72,7.4,3.54,1.11,0.2,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_CIu1-6,54.1,0.06,8.78,8.48,0.17,16.12,6.52,1.21,0.38,,0.46,,Glass
"Stock, M.J., Humphreys, M.C., Smith, V.C., Isaia, R., Brooker, R.A. and Pyle, D.M., 2018. Tracking volatile behaviour in sub-volcanic plumbing systems using apatite and glass: insights into pre-eruptive processes at Campi Flegrei, Italy. Journal of Petrology, 59(12), pp.2463-2492.",CAMPI FLEGREI,Astroni 1_CF69_cpx_83_mi_1,56.29,0.45,16.94,3.48,0.2,0.43,2.43,4.33,7.99,0.1,,,Glass
"Walowski, K.J., Wallace, P.J., Clynne, M.A., Rasmussen, D.J. and Weis, D., 2016. Slab melting and magma formation beneath the southern Cascade arc. Earth and Planetary Science Letters, 446, pp.100-112.",LASSEN REGION,BBL_3,49.17,1.0,17.95,8.68,0.15,6.66,11.01,3.08,0.31,0.16,,,Glass
"Vigouroux, N., Wallace, P.J. and Kent, A.J., 2008. Volatiles in high-K magmas from the western Trans-Mexican Volcanic Belt: evidence for fluid fluxing and extreme enrichment of the mantle wedge by subduction processes. Journal of Petrology, 49(9), pp.1589-1618.",COLIMA,AP-03_AP-03-05 ,46.77,1.77,16.45,4.5,0.05,5.05,11.3,2.84,4.65,1.36,,,Glass
"Johnson, E.R., Wallace, P.J., Delgado Granados, H., Manea, V.C., Kent, A.J., Bindeman, I.N. and Donegan, C.S., 2009. Subduction-related volatile recycling and magma generation beneath Central Mexico: insights from melt inclusions, oxygen isotopes and geodynamic models. Journal of Petrology, 50(9), pp.1729-1764.",CERRO PELON,CEP-17_2_,52.72,1.27,19.21,6.54,0.09,3.68,8.96,3.76,0.94,0.31,,,Glass
"Moretti, R., Métrich, N., Arienzo, I., Di Renzo, V., Aiuppa, A. and Allard, P., 2018. Degassing vs. eruptive styles at Mt. Etna volcano (Sicily, Italy). Part I: Volatile stocking, gas fluxing, and the shift from low-energy to highly explosive basaltic eruptions. Chemical Geology, 482, pp.1-17.",ETNA,BN1997-98_c7 go 11,47.48,1.89,16.47,10.81,0.27,3.61,8.16,5.01,3.15,1.0,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-30X-CC-27-30_88,64.55,0.46,12.4,3.56,0.16,0.57,2.11,3.06,3.52,,,,Glass
"Rasmussen, D.J., Plank, T.A., 2021. Melt inclusion data for the central-eastern Aleutian volcanoes. Earthchem data submission.",OKMOK,OK15DJR14_OK14MI11,49.47,1.02,17.8,9.19,0.17,6.09,11.06,2.86,0.66,0.15,,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_D55R3B-MIN3-MI1 ,50.83,1.41,12.62,13.09,0.28,4.23,8.67,2.68,0.67,0.07,,,Glass
"Tolstykh, M.L., Naumov, V.B., Gavrilenko, M.G., Ozerov, A.Y. and Kononkova, N.N., 2012. Chemical composition, volatile components, and trace elements in the melts of the Gorely volcanic center, southern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 50(6), pp.522-550.",GORELY,GOR-60_13,51.96,2.02,18.11,6.67,0.15,2.22,7.15,5.23,1.77,0.9,,,Glass
"Corsaro, R.A. and Métrich, N., 2016. Chemical heterogeneity of Mt. Etna magmas in the last 15 ka. Inferences on their mantle sources. Lithos, 252, pp.123-134.",ETNA,FS6_FS06-OL36,46.92,0.98,11.21,8.33,,9.05,13.91,1.74,0.79,0.28,,,Glass
"Barth, A., Newcombe, M., Plank, T., Gonnermann, H., Hajimirza, S., Soto, G.J., Saballos, A. and Hauri, E., 2019. Magma decompression rate correlates with explosivity at basaltic volcanoes—Constraints from water diffusion in olivine. Journal of Volcanology and Geothermal Research, 387, p.106664.",CERRO NEGRO,1995-CN-C_CN_C_Ol15_MI2 ,48.75,0.94,15.54,13.58,0.24,4.56,9.37,2.74,0.59,0.15,,,Glass
"Rasmussen, D.J., Plank, T.A., 2021. Melt inclusion data for the central-eastern Aleutian volcanoes. Earthchem data submission.",FISHER,FI15DJR38_FI38MI03,48.01,1.7,16.3,10.79,0.21,4.99,11.14,3.35,0.58,0.17,,,Glass
"Benjamin, E.R., Plank, T., Wade, J.A., Kelley, K.A., Hauri, E.H. and Alvarado, G.E., 2007. High water contents in basaltic magmas from Irazú Volcano, Costa Rica. Journal of Volcanology and Geothermal Research, 168(1-4), pp.68-92.",IRAZU,IZ03-17A_OL-6-MI,53.84,1.51,17.24,6.1,0.12,2.52,7.77,4.18,3.11,0.63,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,RC09-15_RC-14-2-4-1,49.07,1.51,19.65,8.78,0.14,5.02,10.15,3.71,1.04,0.38,,,Glass
Blundyetal2006,MT.ST.HELENS,KC518PFB_MAY-05-3,67.53,0.27,14.73,1.5,0.02,0.34,2.6,4.66,1.76,0.1,,,Glass
Blundyetal2006,MT.ST.HELENS,May25_May25-PL5-1,71.14,0.37,12.82,2.44,0.04,0.56,1.38,4.98,2.28,0.12,,,Glass
"Wysoczanski, R.J., Handler, M.R., Schipper, C.I., Leybourne, M.I., Creech, J., Rotella, M.D., Nichols, A.R.L., Wilson, C.J.N. and Stewart, R.B., 2012. The tectonomagmatic source of ore metals and volatile elements in the southern Kermadec arc. Economic Geology, 107(8), pp.1539-1556.",RUMBLE IV,X355_8.1,52.37,1.12,14.72,11.14,0.25,5.59,8.7,3.14,0.56,,,,Glass
"Tolstykh, M.L., Pevzner, M.M., Naumov, V.B., Babanskii, A.D. and Kononkova, N.N., 2015. Types of parental melts of pyroclastic rocks of various structural–age complexes of the Shiveluch volcanic massif, Kamchatka: Evidence from inclusions in minerals. Petrology, 23(5), pp.480-517.",SHIVELUCH,97057/7_37,61.05,0.93,14.36,5.58,0.11,2.97,5.35,4.9,1.52,,,,Glass
"Rowe, M.C. and Lassiter, J.C., 2009. Chlorine enrichment in central Rio Grande Rift basaltic melt inclusions: Evidence for subduction modification of the lithospheric mantle. Geology, 37(5), pp.439-442.",,_AV-1-8-2,50.95,1.77,14.69,10.01,0.15,7.12,9.48,2.82,0.67,0.34,,,Glass
