Citation,Volcano,Sample ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral
"Portnyagin, M.V., Hoernle, K. & Mironov, N.L., Contrasting compositional trends of rocks and olivine-hosted melt inclusions from Cerro Negro volcano (Central America): implications for decompression-driven fractionation of hydrous magmas, Int J Earth Sci (Geol Rundsch) (2014) 103: 1963. https://doi.org/10.1007/s00531-012-0810-3",CERRO NEGRO,P2-3B_P2-3B-23,47.64,0.89,17.09,12.39,0.16,4.97,12.27,1.88,0.31,0.13,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,BLW03-1_03-072-7.1,47.61,1.67,17.36,9.43,0.14,8.36,10.4,3.2,0.6,0.35,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-29X-5-13-15_80,54.4,1.05,14.7,9.91,0.16,3.49,7.83,2.88,0.37,0.14,,,Glass
"Rowe, Michael C. , David W. Peate, Ingrid Ukstins Peate; An Investigation into the Nature of the Magmatic Plumbing System at Paricutin Volcano, Mexico, Journal of Petrology, Volume 52, Issue 11, 1 November 2011, Pages 2187–2220, https://doi.org/10.1093/petrology/egr044",PARICUTIN,W-47-30 (116289-12)_12-3-3A,64.62,1.44,15.37,5.9,0.09,2.91,4.59,3.63,2.54,0.52,,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_D21R1-21-3-I2 ,53.21,1.17,13.66,11.0,0.27,3.62,6.92,2.2,0.59,0.1,,,Glass
"Hudgins, T.R., Mukasa, S.B., Simon, A.C., Moore, G. and Barifaijo, E., 2015. Melt inclusion evidence for CO 2-rich melts beneath the western branch of the East African Rift: implications for long-term storage of volatiles in the deep lithospheric mantle. Contributions to Mineralogy and Petrology, 169(5), p.46.",BUFUMBIRA,08WR-8_08WR-8-10A,42.28,4.19,10.48,11.39,0.17,10.38,16.56,1.67,2.41,0.54,,,Glass
"Johnson, E.R., Wallace, P.J., Delgado Granados, H., Manea, V.C., Kent, A.J., Bindeman, I.N. and Donegan, C.S., 2009. Subduction-related volatile recycling and magma generation beneath Central Mexico: insights from melt inclusions, oxygen isotopes and geodynamic models. Journal of Petrology, 50(9), pp.1729-1764.",CERRO EL HUNGARO,CEH-93_,53.58,1.1,20.33,5.16,0.09,2.67,8.87,3.88,0.77,0.21,,,Glass
"Rasmussen, D.J., Plank, T.A., 2021. Melt inclusion data for the central-eastern Aleutian volcanoes. Earthchem data submission.",SHISHALDIN,Virgin 1A_VIR1AMI09,44.5,1.12,18.29,7.4,0.13,5.83,15.75,2.19,0.85,0.21,,,Glass
"Cooper, L.B. (2009) Volatiles in Tonga arc magmas and their role in unraveling subduction zone processes. Ph.D. Dissertation, Boston University and Caulfield, J. T., Turner, S. P., Smith, I. E. M., Cooper, L. B. & Jenner, G. A. (2012). Magma evolution in the primitive, intra-oceanic Tonga Arc: petrogenesis of basaltic andesites at Tofua volcano. Journal of Petrology 53, 1197–1230.",TOFUA,06TF70_plag8_mia,54.39,0.56,14.7,10.27,0.15,5.32,9.82,1.82,0.35,0.09,,,Glass
"Stock, M.J., Humphreys, M.C., Smith, V.C., Isaia, R., Brooker, R.A. and Pyle, D.M., 2018. Tracking volatile behaviour in sub-volcanic plumbing systems using apatite and glass: insights into pre-eruptive processes at Campi Flegrei, Italy. Journal of Petrology, 59(12), pp.2463-2492.",CAMPI FLEGREI,Astroni 1_CF69_cpx_133_mi_2,56.43,0.5,17.81,3.16,0.13,0.9,2.4,3.92,8.61,0.13,,,Glass
