,Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral
43173,AC4_EUH98_recon,37.42109,0.016313,0.00512,25.16026,0.491474,36.03909,0.168255,,,0.028825,1.5e-05,Olivine
43174,AC4_EUH98_recon,37.52827,0.02042,0.004324,25.64557,0.479196,36.29685,0.157842,,,0.011397,1.5e-05,Olivine
43175,AC4_EUH98_recon,37.446,0.016811,0.006142,25.7681,0.483029,36.26043,0.141795,,,0.013661,1.5e-05,Olivine
43176,AC4_EUH98_recon,37.27332,0.01693,0.006375,25.81734,0.483543,36.05254,0.143704,,,0.007943,0.003453,Olivine
43177,AC4_EUH103_recon,36.81638,0.024174,0.009339,25.4548,0.504033,36.70105,0.166168,,,0.016891,0.005318,Olivine
43178,AC4_EUH103_recon,36.96135,0.016628,0.008765,25.84758,0.491908,36.79481,0.158311,,,0.015563,0.000239,Olivine
43179,AC4_EUH103_recon,36.89127,0.011407,0.006083,25.74615,0.473759,36.89647,0.144856,,,0.012724,1.5e-05,Olivine
43180,AC4_EUH103_recon,36.87373,0.012324,0.006986,25.34754,0.455782,37.19491,0.133509,,,0.009311,0.001918,Olivine
43181,AC4_EUH104_recon,36.73631,0.01837,0.005564,26.22996,0.504817,36.75829,0.140145,,,0.017487,0.012915,Olivine
43182,AC4_EUH106_recon,35.72771,0.026141,0.000935,32.89057,0.691462,30.03983,0.250164,,,0.021092,1.5e-05,Olivine
43183,AC4_EUH106_recon,36.1554,0.015017,0.004952,31.50566,0.628056,31.57288,0.178631,,,0.010457,0.001822,Olivine
43184,AC4_EUH106_recon,36.25492,0.012584,0.00272,30.03874,0.544938,32.88268,0.13265,,,0.008929,0.006614,Olivine
43185,AC4_EUH106_recon,36.92439,0.013182,0.007606,27.9237,0.473762,34.15928,0.128458,,,0.013362,0.001185,Olivine
43186,AC4_EUH109_recon,38.19784,0.017321,0.007903,25.41419,0.460001,35.92354,0.137315,,,0.015059,0.003169,Olivine
43187,AC4_EUH109_recon,38.08095,0.015806,0.005115,25.1784,0.456095,36.05913,0.136416,,,0.010569,0.0004,Olivine
43188,AC4_EUH109_recon,38.4493,0.013115,0.006937,25.09331,0.456126,36.27703,0.134796,,,0.01317,0.000238,Olivine
43189,AC4_EUH109_recon,38.39719,0.016734,0.006603,25.54692,0.456337,36.35206,0.135384,,,0.008027,1.5e-05,Olivine
43190,AC4_EUH110_recon,38.02954,0.0171,0.006338,25.82343,0.490877,35.63449,0.158031,,,0.008257,1.5e-05,Olivine
43191,AC4_EUH110_recon,37.3633,0.01575,0.009722,25.49727,0.470879,36.25138,0.140851,,,0.006504,1.5e-05,Olivine
43192,AC4_EUH110_recon,37.43902,0.014643,0.007027,25.22274,0.4548,36.32677,0.137149,,,0.006485,1.5e-05,Olivine
43193,AC4_EUH110_recon,37.50528,0.014535,0.005669,24.88648,0.433069,36.94517,0.136493,,,0.008421,1.5e-05,Olivine
43194,AC4_EUH112_recon,37.69078,0.016456,0.00288,25.74045,0.520275,35.27945,0.154867,,,0.009804,1.5e-05,Olivine
43195,AC4_EUH112_recon,37.61408,0.016866,0.00599,25.74939,0.485477,36.00555,0.147842,,,0.006301,1.5e-05,Olivine
43196,AC4_EUH112_recon,37.65397,0.013336,0.009074,25.37768,0.468375,36.37095,0.14758,,,0.00872,1.5e-05,Olivine
43197,AC4_EUH112_recon,37.64651,0.017018,0.007788,25.59768,0.458997,36.49249,0.137518,,,0.010214,0.006743,Olivine
43198,AC4_EUH114_recon,37.54642,0.020813,0.007616,25.89741,0.513197,34.9107,0.15925,,,0.007628,0.002149,Olivine
43199,AC4_EUH114_recon,37.79451,0.017988,0.009991,25.6235,0.492669,34.92125,0.139652,,,0.016459,1.5e-05,Olivine
43200,AC4_EUH114_recon,37.85142,0.012595,0.007197,25.47824,0.473595,35.12186,0.133845,,,0.003569,1.5e-05,Olivine
43201,AC4_EUH116_recon,37.37614,0.021154,0.006994,26.06194,0.508971,35.45998,0.163534,,,0.02301,1.5e-05,Olivine
43202,AC4_EUH116_recon,37.34456,0.020611,0.00701,26.24916,0.505916,35.76765,0.154763,,,0.013693,1.5e-05,Olivine
43203,AC4_EUH116_recon,37.04676,0.021957,0.008166,26.19657,0.509417,35.75538,0.154504,,,0.010461,1.5e-05,Olivine
43204,AC4_EUH116_recon,37.01655,0.01852,0.00707,26.34852,0.508976,35.93188,0.146901,,,0.013428,1.5e-05,Olivine
43205,AC4_EUH119_recon,37.28415,0.014883,0.006566,26.03616,0.511207,35.74356,0.153819,,,0.010932,0.005314,Olivine
43206,AC4_EUH119_recon,37.02468,0.017639,0.008827,26.43271,0.51255,35.69306,0.143092,,,0.01737,0.004662,Olivine
43207,AC4_EUH119_recon,37.17349,0.015556,0.00833,26.31892,0.513607,35.8779,0.145444,,,0.026201,0.009174,Olivine
43208,AC4_EUH119_recon,37.09354,0.017141,0.008356,26.14981,0.514483,35.77959,0.147956,,,0.010853,1.5e-05,Olivine
43209,AC4_EUH125_recon,37.22232,0.021486,0.004788,25.3578,0.4913,36.50612,0.159261,,,0.01953,1.5e-05,Olivine
43210,AC4_EUH125_recon,37.56319,0.018029,0.006398,25.63903,0.472348,36.38844,0.138229,,,0.01119,0.001647,Olivine
43211,AC4_EUH125_recon,37.90705,0.014461,0.006208,25.39201,0.467875,36.56981,0.143829,,,0.021862,1.5e-05,Olivine
43212,AC4_EUH125_recon,37.81371,0.015642,0.007774,25.29481,0.455697,36.8536,0.133333,,,0.028615,1.5e-05,Olivine
43213,AC4_EUH11S_P,38.28146,0.019901,0.008694,24.79092,0.445324,36.59763,0.137362,,,0.007723,1.5e-05,Olivine
43214,AC4_EUH11S_P,38.12871,0.016645,0.007621,24.4249,0.425543,36.36335,0.140134,,,0.008115,1.5e-05,Olivine
43215,AC4_EUH11S_P,38.46755,0.013988,0.008207,24.38468,0.428901,36.61438,0.133583,,,0.005945,0.002913,Olivine
43216,AC4_EUH11S_P,38.33215,0.014832,0.008988,23.96656,0.421557,36.59808,0.140606,,,0.007194,1.5e-05,Olivine
43217,AC4_EUH11S_P,38.23723,0.018598,0.00993,24.49017,0.41519,36.71394,0.135036,,,0.005392,1.5e-05,Olivine
43218,AC4_EUH11S_P,38.35394,0.012218,0.007723,24.07283,0.412317,36.73222,0.139219,,,0.004629,0.000856,Olivine
43219,AC4_EUH11S_P,38.23915,0.013702,0.008221,24.01165,0.402184,36.91887,0.149202,,,0.003345,1.5e-05,Olivine
43220,AC4_EUH11S_P,38.52032,0.015053,0.00964,23.80734,0.393459,36.97798,0.13453,,,0.004316,0.004738,Olivine
43221,AC4_EUH11S_P,38.50883,0.013475,0.011212,24.04786,0.395208,37.02341,0.144316,,,0.003894,0.001528,Olivine
43222,AC4_EUH11S_P,38.56107,0.012731,0.008299,23.81923,0.398099,37.08961,0.142176,,,0.009964,1.5e-05,Olivine
43223,AC4_EUH11S_P,38.1799,0.01231,0.010157,23.61291,0.386963,37.15745,0.140207,,,2.3e-05,1.5e-05,Olivine
43224,AC4_EUH11S_P,38.48661,0.014754,0.009131,23.87568,0.399596,37.14764,0.142262,,,0.008131,0.005518,Olivine
43225,AC4_EUH11S_P,38.35469,0.016583,0.007636,23.7891,0.383752,37.2771,0.140356,,,0.001876,1.5e-05,Olivine
43226,AC4_EUH11S_P,38.45603,0.017981,0.008016,23.49386,0.380448,37.23432,0.138821,,,0.009699,0.001691,Olivine
43227,AC4_EUH11S_P,38.38657,0.012719,0.006678,23.34255,0.380987,37.60727,0.136969,,,0.005268,1.5e-05,Olivine
43228,AC4_EUH11S_P,38.79176,0.012412,0.008015,23.65285,0.375953,37.5429,0.131752,,,0.005793,0.003246,Olivine
43229,AC4_EUH11S_P,38.53345,0.014714,0.007106,23.27218,0.373773,37.51573,0.140529,,,0.004273,1.5e-05,Olivine
43230,AC4_EUH11S_P,38.5899,0.011631,0.007954,23.38347,0.369282,37.28399,0.144173,,,0.006635,0.004838,Olivine
43231,AC4_EUH11S_P,38.60524,0.015403,0.010207,23.44484,0.365562,37.60746,0.138936,,,0.005765,0.000107,Olivine
43232,AC4_EUH11S_P,38.24481,0.016238,0.007932,23.32884,0.366246,37.47169,0.134878,,,0.007202,1.5e-05,Olivine
43233,AC4_EUH11S_P,38.7301,0.018206,0.009589,23.07905,0.368401,37.51509,0.145372,,,0.004076,1.5e-05,Olivine
43234,AC4_EUH11S_P,38.43895,0.016036,0.009778,22.66519,0.35362,37.83596,0.140791,,,0.003993,0.003479,Olivine
43235,AC4_EUH11S_P,38.62814,0.016431,0.009104,22.65962,0.343084,38.0452,0.135092,,,0.011181,0.002743,Olivine
43236,AC4_EUH11S_P,38.82401,0.014944,0.012336,22.57192,0.340814,38.26374,0.133622,,,0.00543,0.001753,Olivine
43237,AC4_EUH11S_P,38.80099,0.014949,0.009404,22.2511,0.335501,38.37851,0.13611,,,0.005612,0.005241,Olivine
43238,AC4_EUH11S_P,38.60923,0.013645,0.010939,22.43101,0.327878,38.27891,0.137101,,,0.004359,0.009301,Olivine
43239,AC4_EUH11S_P,38.71851,0.010094,0.011603,21.94099,0.334553,38.66135,0.133195,,,0.00492,0.003996,Olivine
43240,AC4_EUH11S_P,38.94305,0.014695,0.011649,22.03214,0.338132,38.58169,0.127192,,,0.007005,1.5e-05,Olivine
43241,AC4_EUH11S_P,38.91042,0.011365,0.009987,21.73976,0.33166,38.42556,0.133292,,,0.008516,0.001297,Olivine
43242,AC4_EUH11S_P,38.77777,0.012163,0.01104,21.77349,0.32594,38.32931,0.137949,,,0.007105,1.5e-05,Olivine
43243,AC4_EUH11S_P,38.64073,0.011609,0.012351,21.99042,0.327149,38.62711,0.138601,,,0.006256,1.5e-05,Olivine
43244,AC4_EUH11S_P,38.59512,0.017753,0.010094,21.92304,0.32209,38.54684,0.137317,,,0.007999,0.000379,Olivine
43245,AC4_EUH11S_P,38.58878,0.013083,0.01212,21.6731,0.323616,38.6665,0.133199,,,0.006136,1.5e-05,Olivine
43246,AC4_EUH11S_P,38.86329,0.016744,0.011611,22.01221,0.327943,38.89145,0.136111,,,0.007467,1.5e-05,Olivine
43247,AC4_EUH11S_P,38.73147,0.015931,0.010914,21.88735,0.314878,38.58369,0.138648,,,0.005585,0.006427,Olivine
43248,AC4_EUH11S_P,38.67229,0.011636,0.010914,22.11809,0.323527,38.66592,0.135759,,,0.009234,0.000831,Olivine
