entity_id,Mineral,method,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,Si,Ti,Al,Fe,Cr,Mn,Mg,Ni,Co,Ca,Na,K,P,O
42373,Orthopyroxene,no_info,56.09999847,,5.699999809,,1.299999952,,,36.70000076,,,,,,,,,,,,,,,,,,,,
42374,Orthopyroxene,no_info,55,,7.699999809,,0.899999976,,,36.20000076,,,,,,,,,,,,,,,,,,,,
42375,Orthopyroxene,no_info,55.5,,6.599999905,,0.800000012,,,36.5,,,,,,,,,,,,,,,,,,,,
42376,Orthopyroxene,no_info,58.70000076,,2.200000048,,1.399999976,,,38.59999847,,,,,,,,,,,,,,,,,,,,
42377,Orthopyroxene,no_info,56.40000153,,4.800000191,,1.299999952,,,37,,,,,,,,,,,,,,,,,,,,
42378,Orthopyroxene,no_info,57.59999847,,0.5,,1.100000024,,,37.70000076,,,,,,,,,,,,,,,,,,,,
42379,Orthopyroxene,no_info,59.20000076,,0.699999988,,1.399999976,,,39.20000076,,,,,,,,,,,,,,,,,,,,
42380,Orthopyroxene,no_info,60.20000076,,0.200000003,,1.100000024,,,39.79999924,,,,,,,,,,,,,,,,,,,,
42381,Orthopyroxene,no_info,59.09999847,,1.899999976,,1.299999952,,,39.29999924,,,,,,,,,,,,,,,,,,,,
42382,Orthopyroxene,no_info,55,,5.300000191,,2.900000095,,,36.90000153,,,,,,,,,,,,,,,,,,,,
42383,Orthopyroxene,no_info,55.40000153,,6.900000095,,1.799999952,,,36,,,,,,,,,,,,,,,,,,,,
42384,Orthopyroxene,no_info,58.40000153,,1.200000048,,2,,,38.20000076,,,,,,,,,,,,,,,,,,,,
42385,Orthopyroxene,no_info,56.5,,3.900000095,,2.299999952,,,38.20000076,,,,,,,,,,,,,,,,,,,,
42386,Orthopyroxene,no_info,59.29999924,,1.200000048,,1.799999952,,,37.5,,,,,,,,,,,,,,,,,,,,
42387,Orthopyroxene,no_info,55,,8,,1.700000048,,,35.09999847,,,,,,,,,,,,,,,,,,,,
42388,Orthopyroxene,no_info,60.20000076,,0.400000006,,1.600000024,,,39.5,,,,,,,,,,,,,,,,,,,,
42389,Orthopyroxene,no_info,57.29999924,,2.799999952,,2,,,38.5,,,,,,,,,,,,,,,,,,,,
42451,Orthopyroxene,"EMP, SEM",54.20000076,,7.900000095,,,,,34.59999847,,,2.099999905,,,,,,,,,,,,,,,,,
42452,Orthopyroxene,"EMP, SEM",54.5,,7.800000191,,,,,35.40000153,,,1.899999976,,,,,,,,,,,,,,,,,
42453,Orthopyroxene,"EMP, SEM",54.40000153,,9.5,,,,,34.5,,,2.400000095,,,,,,,,,,,,,,,,,
42454,Orthopyroxene,"EMP, SEM",55.29999924,,9.699999809,,,,,34.90000153,,,2.299999952,,,,,,,,,,,,,,,,,
42455,Orthopyroxene,"EMP, SEM",54.20000076,,8.800000191,,,,,34.5,,,2.200000048,,,,,,,,,,,,,,,,,
42456,Orthopyroxene,"EMP, SEM",54.90000153,,7,,,,,35.59999847,,,2.400000095,,,,,,,,,,,,,,,,,
42457,Orthopyroxene,"EMP, SEM",54,,9.899999619,,,,,34.20000076,,,2,,,,,,,,,,,,,,,,,
42458,Orthopyroxene,"EMP, SEM",54.29999924,,9.899999619,,,,,34.59999847,,,1.799999952,,,,,,,,,,,,,,,,,
42459,Orthopyroxene,"EMP, SEM",53.90000153,,10.39999962,,,,,35.20000076,,,2.200000048,,,,,,,,,,,,,,,,,
42460,Orthopyroxene,"EMP, SEM",54.29999924,,9.600000381,,,,,34.59999847,,,2.200000048,,,,,,,,,,,,,,,,,
42461,Orthopyroxene,"EMP, SEM",53.59999847,,9.699999809,,,,,33.5,,,2.200000048,,,,,,,,,,,,,,,,,
42462,Orthopyroxene,"EMP, SEM",53.70000076,,10,,,,,34.09999847,,,2,,,,,,,,,,,,,,,,,
42463,Orthopyroxene,"EMP, SEM",53.79999924,,8.899999619,,,,,34.09999847,,,2.099999905,,,,,,,,,,,,,,,,,
42464,Orthopyroxene,"EMP, SEM",53.59999847,,9.300000191,,,,,33.59999847,,,2.200000048,,,,,,,,,,,,,,,,,
42465,Orthopyroxene,"EMP, SEM",54,,9.600000381,,,,,34,,,2.299999952,,,,,,,,,,,,,,,,,
42466,Orthopyroxene,"EMP, SEM",53.79999924,,9.600000381,,,,,33.59999847,,,2.400000095,,,,,,,,,,,,,,,,,
42467,Orthopyroxene,"EMP, SEM",53.70000076,,10.5,,,,,33.70000076,,,2.400000095,,,,,,,,,,,,,,,,,
42506,Orthopyroxene,no_info,58.20000076,,2.160000086,,,,,36.79999924,,,2.609999895,0.050000001,,,,,,,,,,,,,,,,
42507,Orthopyroxene,no_info,58.09999847,,2.599999905,,,,,36.09999847,,,2.569999933,0.029999999,,,,,,,,,,,,,,,,
42508,Orthopyroxene,no_info,56.40000153,,4.679999828,,,,,36,,,2.49000001,,,,,,,,,,,,,,,,,
42509,Orthopyroxene,no_info,57.40000153,,3.069999933,,,,,36.5,,,2.660000086,0.100000001,,,,,,,,,,,,,,,,
42510,Orthopyroxene,no_info,58,,3.25999999,,,,,35.79999924,,,2.640000105,0.050000001,,,,,,,,,,,,,,,,
42511,Orthopyroxene,no_info,54.29999924,,8.569999695,,,,,35,,,2.029999971,,,,,,,,,,,,,,,,,
42512,Orthopyroxene,no_info,57.20000076,,5.199999809,,,,,34.79999924,,,2.480000019,0.059999999,,,,,,,,,,,,,,,,
42513,Orthopyroxene,no_info,57.40000153,,3.809999943,,,,,35.79999924,,,2.829999924,0.100000001,,,,,,,,,,,,,,,,
42514,Orthopyroxene,no_info,53.90000153,,9.489999771,,,,,34.59999847,,,2.170000076,,,,,,,,,,,,,,,,,
42515,Orthopyroxene,no_info,56.09999847,,7.110000134,,,,,34.09999847,,,2.410000086,0.079999998,,,,,,,,,,,,,,,,
42516,Orthopyroxene,no_info,54.59999847,,9.359999657,,,,,33.29999924,,,2.170000076,0.039999999,,,,,,,,,,,,,,,,
42517,Orthopyroxene,no_info,56.09999847,,7.46999979,,,,,33.90000153,,,2.680000067,0.090000004,,,,,,,,,,,,,,,,
42518,Orthopyroxene,no_info,54.29999924,,9.659999847,,,,,33.59999847,,,2.359999895,0.090000004,,,,,,,,,,,,,,,,
42519,Orthopyroxene,no_info,54.40000153,,9.550000191,,,,,33.70000076,,,2.319999933,0.050000001,,,,,,,,,,,,,,,,
42520,Orthopyroxene,no_info,54.20000076,,9.710000038,,,,,33.09999847,,,2.49000001,0.189999998,,,,,,,,,,,,,,,,
42521,Orthopyroxene,no_info,54,,9.710000038,,,,,33.59999847,,,2.390000105,0.050000001,,,,,,,,,,,,,,,,
42522,Orthopyroxene,no_info,53.70000076,,10,,,,,33.59999847,,,2.289999962,0.170000002,,,,,,,,,,,,,,,,
42523,Orthopyroxene,no_info,54.59999847,,9.829999924,,,,,33.5,,,2.269999981,0.129999995,,,,,,,,,,,,,,,,
42524,Orthopyroxene,no_info,54.5,,9.720000267,,,,,33.59999847,,,2.380000114,0.050000001,,,,,,,,,,,,,,,,
42525,Orthopyroxene,no_info,53.59999847,,9.869999886,,,,,34.09999847,,,2.579999924,,,,,,,,,,,,,,,,,
42526,Orthopyroxene,no_info,53.79999924,,10,,,,,33.59999847,,,2.25999999,0.150000006,,,,,,,,,,,,,,,,
42527,Orthopyroxene,no_info,53.70000076,,9.93999958,,,,,33.5,,,2.359999895,0.07,,,,,,,,,,,,,,,,
42528,Orthopyroxene,no_info,54.29999924,,10.30000019,,,,,33.09999847,,,2.150000095,0.310000002,,,,,,,,,,,,,,,,
42529,Orthopyroxene,no_info,54.29999924,,10.30000019,,,,,33,,,2.329999924,0.189999998,,,,,,,,,,,,,,,,
42530,Orthopyroxene,no_info,54,,10.39999962,,,,,33.09999847,,,2.450000048,0.090000004,,,,,,,,,,,,,,,,
42531,Orthopyroxene,no_info,53.79999924,,10.60000038,,,,,32.90000153,,,2.140000105,0.270000011,,,,,,,,,,,,,,,,
42532,Orthopyroxene,no_info,53.59999847,,10.60000038,,,,,32.90000153,,,2.829999924,,,,,,,,,,,,,,,,,
42533,Orthopyroxene,no_info,53.70000076,,10.60000038,,,,,33,,,2.369999886,0.230000004,,,,,,,,,,,,,,,,
42534,Orthopyroxene,no_info,53.90000153,,9.760000229,,,,,33.40000153,,,2.289999962,0.200000003,,,,,,,,,,,,,,,,
42535,Orthopyroxene,no_info,53.90000153,,10,,,,,33.09999847,,,2.369999886,0.239999995,,,,,,,,,,,,,,,,
42536,Orthopyroxene,no_info,54.20000076,,9.590000153,,,,,33.70000076,,,2.369999886,0.07,,,,,,,,,,,,,,,,
42537,Orthopyroxene,no_info,55.79999924,,7.199999809,,,,,34.70000076,,,2.420000076,0.230000004,,,,,,,,,,,,,,,,
42596,Orthopyroxene,"EMP, FTIR",48.59999847,0.310000002,5.900000095,,,26.39999962,0.720000029,15.69999981,,,1.789999962,0.07,0.050000001,,,,,,,,,,,,,,,
42621,Orthopyroxene,no_info,56.5,,2.130000114,,0.219999999,6.289999962,,33.20000076,,,0.899999976,,,,,,,,,,,,,,,,,
42622,Orthopyroxene,no_info,54.83000183,,4.400000095,,0.300000012,5.590000153,,32.75,,,0.779999971,,,,,,,,,,,,,,,,,
42623,Orthopyroxene,no_info,57.61000061,,1.830000043,,0.330000013,5.179999828,,33.06000137,,,0.25,,,,,,,,,,,,,,,,,
42624,Orthopyroxene,no_info,56.59999847,,2.49000001,,0.25999999,5.360000134,,34.29999924,,,0.550000012,,,,,,,,,,,,,,,,,
42625,Orthopyroxene,no_info,54.29999924,,5.550000191,,0.400000006,6.300000191,,31.60000038,,,1.110000014,,,,,,,,,,,,,,,,,
42641,Orthopyroxene,no_info,53.20000076,,6.869999886,,0.280000001,8.119999886,,30.10000038,,,1.24000001,,,,,,,,,,,,,,,,,
42642,Orthopyroxene,no_info,51.38000107,,7.989999771,,0.379999995,8.199999809,,29.37999916,,,0.579999983,,,,,,,,,,,,,,,,,
42643,Orthopyroxene,no_info,54,,5.710000038,,0.409999996,6.440000057,,31.5,,,1.090000033,,,,,,,,,,,,,,,,,
42644,Orthopyroxene,no_info,50.95000076,,6.860000134,,0.720000029,7.130000114,,30.59000015,,,1.100000024,,,,,,,,,,,,,,,,,
42645,Orthopyroxene,no_info,53.5,,6.199999809,,0.629999995,7.369999886,,29.79999924,,,1.659999967,,,,,,,,,,,,,,,,,
42646,Orthopyroxene,no_info,53.29999924,,5.650000095,,0.560000002,6.119999886,,30.89999962,,,1.090000033,,,,,,,,,,,,,,,,,
42647,Orthopyroxene,no_info,53.40000153,,5.710000038,,0.409999996,6.449999809,,31.20000076,,,1.179999948,,,,,,,,,,,,,,,,,
42648,Orthopyroxene,no_info,53.5,,5.460000038,,0.560000002,5.940000057,,31.5,,,1.100000024,,,,,,,,,,,,,,,,,
42684,Orthopyroxene,no_info,55.38999939,,2.400000095,,0.579999983,4.96999979,0.129999995,33.36000061,,,0.949999988,0.050000001,,,,,,,,,,,,,,,,
42685,Orthopyroxene,no_info,56.38999939,0.039999999,4.170000076,,0.779999971,4.389999866,0.129999995,33,,,0.660000026,0.059999999,,,,,,,,,,,,,,,,
42686,Orthopyroxene,no_info,57.95999908,0.090000004,3.5,,0.379999995,6.070000172,0.200000003,33.18000031,,,1.059999943,0.029999999,,,,,,,,,,,,,,,,
42687,Orthopyroxene,no_info,58.27999878,0.129999995,4,,0.300000012,3.690000057,0.159999996,34.04000092,,,0.699999988,0.079999998,,,,,,,,,,,,,,,,
42688,Orthopyroxene,no_info,55.5,0.02,2,,0.529999971,5.260000229,0.07,33.63999939,,,0.949999988,0.029999999,,,,,,,,,,,,,,,,
42689,Orthopyroxene,no_info,55.18999863,0.140000001,2.74000001,,0.25999999,7.429999828,0.109999999,31.42000008,,,1.230000019,0.079999998,,,,,,,,,,,,,,,,
42690,Orthopyroxene,no_info,56.22999954,0.170000002,2.619999886,,0.349999994,6.400000095,0.129999995,31.70999908,,,1.200000048,0.119999997,,,,,,,,,,,,,,,,
42691,Orthopyroxene,no_info,56.15000153,0.189999998,4.429999828,,0.129999995,6.46999979,0.170000002,31.79999924,,,1.340000033,0.100000001,,,,,,,,,,,,,,,,
42692,Orthopyroxene,no_info,53.68999863,0.180000007,3.150000095,,0.090000004,15.84000015,0.100000001,25.61000061,,,1.24000001,0.150000006,,,,,,,,,,,,,,,,
42693,Orthopyroxene,no_info,57.27000046,0,3.579999924,,1.129999995,4.980000019,0.159999996,32.16999817,,,0.75,0.170000002,,,,,,,,,,,,,,,,
42694,Orthopyroxene,no_info,56.93999863,0,3.029999971,,1.019999981,4.929999828,0.129999995,32.81000137,,,0.629999995,0.109999999,,,,,,,,,,,,,,,,
42740,Orthopyroxene,EMP,53.81999969,,9.25,,,,,34.77999878,,,2.160000086,,,,,,,,,,,,,,,,,
42741,Orthopyroxene,EMP,54.40999985,,8.460000038,,,,,35.02999878,,,2.099999905,,,,,,,,,,,,,,,,,
42742,Orthopyroxene,EMP,54.54999924,,8.479999542,,,,,34.86000061,,,2.109999895,,,,,,,,,,,,,,,,,
42743,Orthopyroxene,no_info,54.56999969,,8.600000381,,,,,34.36000061,,,2.470000029,,,,,,,,,,,,,,,,,
42744,Orthopyroxene,no_info,54.59000015,,8.340000153,,,,,34.84000015,,,2.230000019,,,,,,,,,,,,,,,,,
42745,Orthopyroxene,no_info,54.50999832,,8.5,,,,,34.79999924,,,2.190000057,,,,,,,,,,,,,,,,,
42746,Orthopyroxene,no_info,54.72000122,,8.18999958,,,,,34.99000168,,,2.099999905,,,,,,,,,,,,,,,,,
42747,Orthopyroxene,no_info,54.63999939,,8.329999924,,,,,34.83000183,,,2.190000057,,,,,,,,,,,,,,,,,
42748,Orthopyroxene,no_info,54.56000137,,8.279999733,,,,,34.97000122,,,2.190000057,,,,,,,,,,,,,,,,,
42749,Orthopyroxene,no_info,54.97999954,,8.119999886,,,,,35.15999985,,,1.74000001,,,,,,,,,,,,,,,,,
42750,Orthopyroxene,no_info,54.24000168,,9.359999657,,,,,34.61999893,,,1.789999962,,,,,,,,,,,,,,,,,
42751,Orthopyroxene,no_info,54.33000183,,9.300000191,,,,,34.65999985,,,1.710000038,,,,,,,,,,,,,,,,,
42752,Orthopyroxene,no_info,54.47000122,,8.930000305,,,,,34.74000168,,,1.860000014,,,,,,,,,,,,,,,,,
42753,Orthopyroxene,EMP,54.29000092,,9.039999962,,,,,34.31000137,,,2.359999895,,,,,,,,,,,,,,,,,
42754,Orthopyroxene,EMP,53.56999969,,9.819999695,,,,,34.25999832,,,2.349999905,,,,,,,,,,,,,,,,,
42755,Orthopyroxene,no_info,55.13999939,,7.739999771,,,,,34.81999969,,,2.299999952,,,,,,,,,,,,,,,,,
42756,Orthopyroxene,no_info,54.22000122,,9.18999958,,,,,34.34000015,,,2.25,,,,,,,,,,,,,,,,,
42757,Orthopyroxene,no_info,54.13999939,,8.869999886,,,,,34.79999924,,,2.190000057,,,,,,,,,,,,,,,,,
42812,Orthopyroxene,no_info,55.25999832,,5.670000076,,1.49000001,,,35.06000137,,,2.519999981,,,,,,,,,,,,,,,,,
42813,Orthopyroxene,no_info,55.04999924,,6.440000057,,1.309999943,,,34.65000153,,,2.539999962,,,,,,,,,,,,,,,,,
42814,Orthopyroxene,no_info,55.20999908,,6.070000172,,1.309999943,,,35.04000092,,,2.380000114,,,,,,,,,,,,,,,,,
42815,Orthopyroxene,no_info,55.13000107,,6.190000057,,1.330000043,,,35.02000046,,,2.339999914,,,,,,,,,,,,,,,,,
42816,Orthopyroxene,no_info,55.86000061,,4.380000114,,1.789999962,,,35.27999878,,,2.700000048,,,,,,,,,,,,,,,,,
42817,Orthopyroxene,no_info,55.5,,5.010000229,,1.840000033,,,34.91999817,,,2.74000001,,,,,,,,,,,,,,,,,
42818,Orthopyroxene,no_info,55.65999985,,4.880000114,,1.710000038,,,35.29000092,,,2.450000048,,,,,,,,,,,,,,,,,
42819,Orthopyroxene,no_info,55.59000015,,4.769999981,,1.850000024,,,35.29999924,,,2.49000001,,,,,,,,,,,,,,,,,
