,entity_id,Mineral,method,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,NN_Labels,NN_Labels_Test
395,59635,Amphibole,EMP,40.17,4.4,13.33,0.0,12.54,0.17,11.18,,,11.76,2.3,1.07,,Amphibole,Amphibole
396,59636,Amphibole,EMP,39.25,3.99,12.8,0.0,10.38,0.25,13.22,,,12.1,2.29,1.22,,Amphibole,Amphibole
397,59637,Amphibole,EMP,42.92,2.31,12.6,0.0,9.15,0.2,15.81,,,11.36,2.57,0.27,,Amphibole,Amphibole
398,59638,Amphibole,EMP,45.27,2.42,10.08,0.0,10.66,0.27,15.53,,,10.34,2.34,0.08,,Amphibole,Amphibole
399,59639,Amphibole,EMP,44.25,1.12,11.01,0.0,11.99,0.27,15.49,,,9.73,1.38,0.11,,Amphibole,Amphibole
400,59640,Amphibole,EMP,44.47,2.7,11.48,0.0,11.39,0.27,14.29,,,10.64,2.23,0.08,,Amphibole,Amphibole
401,59641,Amphibole,EMP,45.56,1.57,10.72,0.0,10.47,0.22,16.15,,,10.74,1.92,0.15,,Amphibole,Amphibole
402,59642,Amphibole,EMP,40.73,2.77,14.25,0.0,11.38,0.24,12.03,,,11.96,2.16,1.29,,Amphibole,Amphibole
403,59643,Amphibole,EMP,41.13,1.95,14.15,0.0,10.15,0.15,14.58,,,11.93,2.45,0.29,,Amphibole,Amphibole
404,59644,Amphibole,EMP,43.89,2.02,13.2,0.0,13.47,0.27,11.84,,,11.15,2.23,0.09,,Amphibole,Amphibole
405,59645,Amphibole,EMP,42.13,1.36,14.31,0.0,10.76,0.19,13.62,,,11.62,2.23,0.49,,Amphibole,Amphibole
406,59646,Amphibole,EMP,42.68,1.1,12.21,0.0,10.79,0.17,15.16,,,11.61,2.01,0.23,,Amphibole,Amphibole
407,59647,Amphibole,EMP,40.1,4.23,13.52,0.0,12.96,0.19,11.3,,,11.42,2.33,1.04,,Amphibole,Amphibole
408,59648,Amphibole,EMP,41.48,3.59,12.45,0.0,10.49,0.29,13.66,,,11.32,2.34,1.11,,Amphibole,Amphibole
409,59649,Amphibole,EMP,45.05,2.36,10.43,0.0,10.64,0.28,15.52,,,10.48,2.12,0.07,,Amphibole,Amphibole
410,59650,Amphibole,EMP,43.52,1.53,11.65,0.0,10.11,0.23,15.07,,,11.16,2.21,0.49,,Amphibole,Amphibole
411,59651,Amphibole,EMP,46.95,1.33,9.96,0.0,10.75,0.24,15.93,,,10.93,1.73,0.14,,Amphibole,Amphibole
412,59652,Amphibole,EMP,44.19,2.39,10.99,0.0,10.36,0.29,15.46,,,10.93,2.24,0.08,,Amphibole,Amphibole
413,59653,Amphibole,EMP,46.71,1.37,10.05,0.0,10.89,0.24,15.79,,,10.88,1.76,0.14,,Amphibole,Amphibole
414,59654,Amphibole,EMP,40.68,1.92,14.09,0.0,10.88,0.18,13.29,,,11.74,2.59,0.29,,Amphibole,Amphibole
415,59655,Amphibole,EMP,42.25,2.28,13.24,0.0,12.39,0.23,12.76,,,11.51,2.31,0.1,,Amphibole,Amphibole
416,59656,Amphibole,EMP,41.54,1.52,14.54,0.0,11.9,0.21,13.35,,,11.58,2.31,0.47,,Amphibole,Amphibole
417,59657,Amphibole,EMP,43.92,1.29,13.16,0.0,11.37,0.19,14.29,,,10.85,1.99,0.2,,Amphibole,Amphibole
418,59658,Amphibole,EMP,40.18,3.66,15.07,0.0,13.19,0.22,10.77,,,11.89,2.2,1.28,,Amphibole,Amphibole
419,59659,Amphibole,EMP,40.13,4.76,14.05,0.0,11.97,0.15,11.48,,,11.53,2.24,1.2,,Amphibole,Amphibole
420,59660,Amphibole,EMP,40.24,4.07,13.23,0.0,10.37,0.19,13.15,,,11.43,2.25,1.21,,Amphibole,Amphibole
421,59661,Amphibole,EMP,44.02,2.49,10.37,0.0,10.17,0.26,15.5,,,10.32,2.1,0.08,,Amphibole,Amphibole
422,59662,Amphibole,EMP,45.18,1.55,11.09,0.0,10.8,0.26,14.9,,,10.98,2.0,0.59,,Amphibole,Amphibole
423,59663,Amphibole,EMP,44.49,2.48,10.81,0.0,10.32,0.27,15.47,,,10.54,2.12,0.08,,Amphibole,Amphibole
424,59664,Amphibole,EMP,44.58,1.57,10.95,0.0,11.09,0.18,15.57,,,10.55,1.94,0.14,,Amphibole,Amphibole
425,59736,Amphibole,EMP,40.72,4.06,15.02,0.01,8.62,0.12,14.48,,,10.51,2.59,1.33,,Amphibole,Amphibole
426,59737,Amphibole,EMP,38.06,4.98,15.53,0.01,15.29,0.0,9.13,,,9.71,2.46,1.55,,Amphibole,Amphibole
427,59738,Amphibole,EMP,40.63,3.98,14.69,0.02,9.02,0.13,14.11,,,10.08,2.85,1.14,,Amphibole,Amphibole
