,entity_id,Mineral,method,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,Total
3535,57862,Clinopyroxene,EMP,47.2,0.66,9.64,0.22,6.07,0.22,18.51,,,13.15,0.55,0.02,,96.24
3536,57863,Clinopyroxene,EMP,47.24,0.54,12.7,0.26,4.22,0.13,16.99,,,15.25,0.59,0.01,,97.93
3537,57864,Clinopyroxene,EMP,47.66,0.53,12.25,,4.29,0.14,17.14,,,15.37,0.58,,,97.96
3541,57868,Clinopyroxene,EMP,51.94,1.38,6.21,0.04,7.82,0.25,18.77,,,13.1,0.41,0.01,,99.93
3542,57869,Clinopyroxene,EMP,46.54,2.38,11.83,0.08,5.85,0.19,14.93,,,15.58,0.52,0.01,,97.91
3548,57875,Clinopyroxene,EMP,50.4,0.66,8.05,0.18,6.08,0.18,19.0,,,13.74,0.48,0.02,,98.79
3549,57876,Clinopyroxene,EMP,50.88,0.68,8.02,0.2,6.24,0.2,20.23,,,13.16,0.43,0.01,,100.05000000000001
3553,57880,Clinopyroxene,EMP,48.57,0.67,12.43,0.11,3.98,0.16,14.61,,,15.06,1.25,0.01,,96.85000000000001
3556,57883,Clinopyroxene,EMP,50.62,0.7,8.33,0.14,6.68,0.22,18.04,,,13.29,0.53,0.01,,98.56
3560,57887,Clinopyroxene,EMP,51.4,0.54,6.43,0.11,8.52,0.27,18.58,,,13.71,0.4,0.02,,99.97999999999999
3561,57888,Clinopyroxene,EMP,47.94,0.68,12.79,0.07,6.77,0.21,13.1,,,16.96,0.95,0.01,,99.47999999999999
3562,57889,Clinopyroxene,EMP,47.05,0.63,14.26,0.07,5.7,0.15,12.36,,,17.33,1.0,0.01,,98.55999999999999
3590,58511,Clinopyroxene,EMP,47.35727209,1.409415315,6.904726874,0.051084037,14.35556395,0.369542599,12.59903764,,,15.30402481,0.499924522,,,98.85059183700001
3600,58521,Clinopyroxene,EMP,47.1152066,1.335154485,7.038390223,0.152436266,7.974221864,0.213430829,13.59650926,,,16.99414314,0.911649099,0.031490123,,95.362631889
3610,58531,Clinopyroxene,EMP,47.15748291,1.214010423,6.67511667,0.101542195,7.907790482,0.248801759,14.21163348,,,15.95018115,1.014426567,0.047197079,,94.52818271499999
3613,58534,Clinopyroxene,EMP,38.21136046,1.885776936,11.97384059,0.11427894,5.62881671,0.17067259,9.316210158,,,16.02190739,1.491159727,0.014164574,,84.828188075
3614,58535,Clinopyroxene,EMP,38.81869311,1.696049733,11.79159246,0.045777808,5.766806714,0.149554896,9.0383449,,,16.13801467,1.65198558,,,85.09681987100001
3615,58536,Clinopyroxene,EMP,38.64113085,1.662836059,11.84275768,,5.722594671,0.149813693,9.199919289,,,16.28437256,1.673543071,,,85.17696787300001
3616,58537,Clinopyroxene,EMP,37.73111084,2.289590287,12.38641251,0.022573869,5.66609305,0.147496471,8.267398763,,,15.89923916,1.896187158,,,84.306102108
3617,58538,Clinopyroxene,EMP,39.6259446,1.940642926,10.60493456,0.092319018,5.891259145,0.172345029,9.168793806,,,16.28960561,1.882214706,0.028606748,,85.69666614799999
3618,58539,Clinopyroxene,EMP,40.58128923,1.709479969,10.31776758,0.046469875,6.128566401,0.19519182,9.489240275,,,15.88478528,1.800126799,0.028799094,,86.181716323
3620,58541,Clinopyroxene,EMP,45.011569,2.143054464,8.022804461,0.049730736,7.534181984,0.208888722,11.92236816,,,17.74253942,1.257258444,0.030819969,,93.92321536000001
3627,58548,Clinopyroxene,EMP,45.93005471,1.136870399,9.713954614,0.152703438,8.072411073,0.201926856,14.87573267,,,15.878358,0.581157137,0.015772658,,96.55894155500002
3628,58549,Clinopyroxene,EMP,45.34813171,1.196883946,10.42244649,0.227749574,8.325445618,0.2007759,14.8848964,,,15.15297829,0.567525967,,,96.32683389500001
3640,58561,Clinopyroxene,EMP,46.65469146,1.331918248,7.995425397,0.100374112,8.46921432,0.245939688,13.11648785,,,15.72966679,0.982292762,0.186616606,,94.812627233
3643,58564,Clinopyroxene,EMP,44.51196118,2.252109666,12.74759615,0.306102609,4.557857773,0.333343056,14.12490349,,,19.79199052,0.499269465,0.031617177,,99.15675108600001
3645,58566,Clinopyroxene,EMP,44.3430337,2.110937661,11.50640957,0.353681099,7.630761121,0.188647648,14.31718207,,,17.07551072,0.504763426,0.031312744,,98.06223975900001
3646,58567,Clinopyroxene,EMP,44.65454262,2.1853127,11.17436558,0.151212059,7.469403185,0.164668606,13.40043092,,,18.19660718,0.482993203,,,97.879536053
3647,58568,Clinopyroxene,EMP,48.5898039,1.559408392,5.744373689,0.130145918,11.2827007,0.267258068,16.49095883,,,13.7136535,0.488232138,0.032262488,,98.29879762299998
3648,58569,Clinopyroxene,EMP,47.74354737,1.622822868,6.266404549,0.077848625,11.18684735,0.242218484,16.4749098,,,14.01635804,0.454994481,0.016081887,,98.10203345400001
3649,58570,Clinopyroxene,EMP,45.48501511,1.415919792,6.827580519,0.598730897,10.56602473,0.093144671,15.44815164,,,13.47491153,0.569660937,,,94.479139826
3651,58572,Clinopyroxene,EMP,47.38459696,1.272935497,5.729534907,0.229472598,10.26859684,0.202294857,16.53918049,,,13.35798911,0.551026109,,,95.53562736800001
3652,58573,Clinopyroxene,EMP,48.42541281,1.270180042,5.001810104,0.179986944,9.881359339,0.192004117,16.74713555,,,13.66060305,0.576651779,,,95.935143735
3653,58574,Clinopyroxene,EMP,47.87675471,1.245304882,4.529292694,0.356719056,11.62274667,0.083242269,15.83214551,,,13.51828434,0.519488888,,,95.583979019
3658,58579,Clinopyroxene,EMP,45.30620214,2.857259013,8.931888703,0.07551316,8.578667615,0.270194699,14.01144869,,,15.98257236,0.82110626,0.015599429,,96.850452069
3660,58581,Clinopyroxene,EMP,46.46022913,1.014642317,6.408243302,0.501484799,9.813892558,0.222345823,16.38466972,,,12.82198974,0.368076646,0.01553943,,94.01111346500001
3663,58584,Clinopyroxene,EMP,45.55328607,1.049720902,6.98411985,0.274651563,9.170512199,0.174794694,15.8122227,,,14.19568799,0.519239293,0.01547379,,93.749709051
3665,58586,Clinopyroxene,EMP,44.37900723,1.31071187,8.413787476,0.290574022,9.294258625,0.214722095,13.42761197,,,14.30313667,0.710912286,0.030013238,,92.37473548199999
3666,58587,Clinopyroxene,EMP,46.99873185,1.862760599,7.896590979,0.310472582,9.36815272,0.205276165,16.53591612,,,14.71942343,0.400897722,,,98.298222167
3667,58588,Clinopyroxene,EMP,47.32589085,1.71504395,7.766118312,0.259006248,8.888532112,0.22967379,15.95617021,,,15.88201775,0.401330181,0.032103143,,98.455886546
3671,58592,Clinopyroxene,EMP,43.49227192,1.264160366,9.385182473,0.343644709,3.29521041,1.145590023,16.05254547,,,16.11098122,0.650583384,0.015212092,,91.755382067
3672,58593,Clinopyroxene,EMP,44.91974507,1.086891981,8.357378419,0.224262332,4.534795825,1.10480346,15.57552223,,,16.80561587,0.690924703,,,93.29993988999999
3673,58594,Clinopyroxene,EMP,44.93500887,1.160131353,6.778812805,0.416983728,6.191482188,0.721204341,15.69627932,,,14.53383228,0.790142208,,,91.223877093
3675,58596,Clinopyroxene,EMP,47.02143448,0.877950876,5.925752095,0.202498495,9.548120445,0.212643403,16.3522797,,,13.86828262,0.474785698,0.015686972,,94.499434784
3681,58674,Clinopyroxene,EMP,41.12,4.41,11.1,,10.09,0.117,10.56,,,21.26,0.43,0.002,,99.089
3686,58679,Clinopyroxene,EMP,42.34,1.19,9.24,,13.4,0.421,9.64,,,22.22,0.59,0.051,,99.092
3687,58680,Clinopyroxene,EMP,47.55,4.75,7.22,,6.95,0.312,14.99,,,17.51,0.57,0.007,0.209,100.06800000000001
3690,58683,Clinopyroxene,EMP,49.97,2.58,3.95,,12.25,0.408,15.83,,,14.52,0.41,,0.456,100.37400000000001
3693,58686,Clinopyroxene,EMP,45.66,5.31,10.0,,5.71,0.117,15.6,,,16.58,0.54,0.001,,99.518
3699,58692,Clinopyroxene,EMP,47.01,4.65,8.32,,7.03,0.137,12.63,,,19.03,,0.053,,98.85999999999999
3702,58695,Clinopyroxene,EMP,45.49,1.57,6.58,,10.06,0.345,13.02,,,21.65,0.49,0.003,0.81,100.018
3703,58696,Clinopyroxene,EMP,45.65,2.47,6.61,,10.92,0.284,12.51,,,20.52,0.43,0.003,,99.397
3704,58697,Clinopyroxene,EMP,43.33,1.96,9.0,,10.81,0.204,11.54,,,21.91,0.6,0.003,,99.357
3807,59026,Clinopyroxene,EMP,49.1,0.71,8.29,,8.36,0.23,15.3,,,16.6,0.93,0.0,0.0,99.52000000000001
3823,59074,Clinopyroxene,EMP,49.17,0.98,14.14,,6.61,0.08,10.5,,,15.24,2.94,0.0,,99.66
3824,59075,Clinopyroxene,EMP,49.11,1.55,13.93,,5.61,0.09,10.79,,,16.57,2.64,0.0,,100.28999999999999
3838,59129,Clinopyroxene,EMP,49.74,2.84,17.08,,8.04,0.11,6.17,,,12.9,3.98,,,100.85999999999999
3839,59130,Clinopyroxene,EMP,50.09,2.76,17.06,,7.83,0.1,6.12,,,12.61,4.12,,,100.69000000000001
3840,59131,Clinopyroxene,EMP,50.11,2.64,16.68,,7.62,0.1,6.51,,,12.77,4.05,,,100.47999999999999
3841,59132,Clinopyroxene,EMP,50.1,2.45,16.41,,7.65,,5.68,,,12.45,4.07,0.019,,98.82900000000002
3846,59257,Clinopyroxene,EMP,51.5,0.8,18.2,,5.6,,7.5,,,13.0,3.5,,,100.1
3847,59258,Clinopyroxene,EMP,50.7,1.0,18.4,,5.5,,7.4,,,13.4,3.5,,,99.89999999999999
3848,59259,Clinopyroxene,EMP,51.6,0.9,18.5,,4.9,,7.2,,,13.0,3.6,,,99.7
3868,59369,Clinopyroxene,EMP,48.23,1.59,5.2,,12.0,0.27,13.61,,,17.6,0.6,0.0,0.03,99.13
3871,59372,Clinopyroxene,EMP,48.53,0.94,7.9,,9.78,0.24,13.4,,,17.99,0.97,0.0,0.0,99.75
3894,59492,Clinopyroxene,EMP,54.27,0.27,10.08,,9.36,0.1,8.43,,,14.09,4.65,0.03,,101.28
3972,62959,Clinopyroxene,EMP,53.9,0.3,6.2,0.34,4.57,0.11,24.1,,,9.6,0.91,0.005,,100.035
4001,64118,Clinopyroxene,EMP,52.6,0.28,9.31,,6.93,0.14,21.9,,,7.6,0.89,0.0,0.0,99.65
4021,64554,Clinopyroxene,EMP,48.05,0.84,10.22,0.09,9.42,0.37,9.76,0.03,,17.7,2.59,,,99.07000000000001
4027,64560,Clinopyroxene,EMP,48.63,0.38,9.13,0.16,8.47,0.03,11.07,0.07,,17.03,2.75,,,97.72
4028,64561,Clinopyroxene,EMP,48.58,0.9,6.39,0.1,13.91,0.05,11.58,0.05,,17.55,0.91,,,100.02
4071,69595,Clinopyroxene,EMP,46.86492857,5.833071429,3.059142857,,14.66114286,0.009142857,7.247571429,,,15.045,5.314,0.037142857,,98.071142859
4073,69597,Clinopyroxene,EMP,50.72625,0.0985,2.4575,,28.13562125,0.2519625,0.0478625,,,5.88125,9.85625,0.0366125,,97.49180875
4074,69598,Clinopyroxene,EMP,51.898,0.10208,2.964,,28.61364,0.17228,0.06514,,,3.14348,11.45,0.04462,,98.45324
4076,69600,Clinopyroxene,EMP,40.72666667,4.5675,9.26,,11.724394,0.008408333,9.2825,,,22.17,1.008233333,0.029558333,,98.777260669
4077,69601,Clinopyroxene,EMP,41.137,4.012333333,7.597666667,,14.74352293,0.005376667,8.077333333,,,21.031,1.56253,0.04599,,98.21275293000001
4090,70344,Clinopyroxene,EMP,48.1289,1.03043,5.58301,,11.1038,0.50903,11.2358,,,21.2851,0.60876,,,99.48483
4091,70345,Clinopyroxene,EMP,48.3694,1.04965,5.38912,,10.9322,0.68931,11.9711,,,21.0376,0.64593,,,100.08431
4112,71679,Clinopyroxene,EMP,53.9,0.13,14.08,0.17,5.03,0.02,7.76,,,11.23,6.41,0.02,0.0,98.75
4116,71683,Clinopyroxene,EMP,56.49,0.21,11.29,,4.03,0.1,13.99,,,6.52,6.19,0.0,0.0,98.82000000000001
4167,73217,Clinopyroxene,EMP,51.08,1.74,14.9,,7.3,,8.3,,,12.61,4.32,,,100.25
4169,73219,Clinopyroxene,EMP,50.38,1.25,14.56,,7.33,0.43,9.42,,,12.53,3.59,,,99.49000000000001
4171,73222,Clinopyroxene,EMP,53.14,1.63,14.71,,5.91,0.26,7.56,,,11.76,5.0,,,99.97
4172,73223,Clinopyroxene,EMP,52.47,1.54,14.91,,6.6,,8.34,,,11.71,4.46,,,100.03
4173,73224,Clinopyroxene,EMP,52.25,1.11,15.52,,6.57,0.2,8.3,,,11.48,4.21,,,99.64
4175,73226,Clinopyroxene,EMP,54.58,2.04,14.36,,4.81,,7.41,,,11.54,5.84,,,100.57999999999998
4176,73227,Clinopyroxene,EMP,53.77,1.42,14.77,,5.73,,7.16,,,11.24,5.66,,,99.75
4177,73228,Clinopyroxene,EMP,53.21,1.1,15.33,,6.66,,8.21,,,11.2,4.61,,,100.32000000000001
4178,73229,Clinopyroxene,EMP,52.32,0.66,15.53,,5.53,,9.47,,,11.97,4.51,,,99.99
4179,73230,Clinopyroxene,EMP,54.64,0.91,19.91,,5.4,,4.66,,,6.67,7.41,,,99.6
4183,73255,Clinopyroxene,EMP,51.18,0.29,16.32,0.02,5.23,0.13,11.04,0.01,,14.09,3.0,0.0,,101.31
4190,73292,Clinopyroxene,EMP,55.73,,10.23,,0.0,,13.14,,,16.33,5.24,,,100.66999999999999
4192,73294,Clinopyroxene,EMP,58.28,,19.61,,0.0,,5.93,,,7.03,9.68,,,100.53
4193,73295,Clinopyroxene,EMP,58.59,,19.54,,0.0,,5.49,,,6.17,10.45,,,100.24
4194,73296,Clinopyroxene,EMP,56.36,,18.69,,0.0,,7.07,,,8.17,9.34,,,99.63
4195,73297,Clinopyroxene,EMP,57.26,,20.05,,0.0,,5.55,,,6.66,10.88,,,100.4
4202,108793,Clinopyroxene,EMP,47.5,0.61,7.9,,12.0,0.4,13.2,,,17.1,0.64,0.012,,99.362
4203,108794,Clinopyroxene,EMP,49.2,0.42,6.7,,10.6,0.34,14.1,,,17.1,0.54,0.002,,99.002
4205,108796,Clinopyroxene,EMP,46.0,0.7,8.0,,11.4,0.35,11.0,,,19.0,0.72,0.01,,97.17999999999999
4206,108797,Clinopyroxene,EMP,49.0,0.8,7.0,,11.5,0.37,12.0,,,17.0,0.7,0.1,,98.47
4208,108799,Clinopyroxene,EMP,41.6,0.7,18.0,,8.0,0.14,7.7,,,24.2,0.32,0.004,,100.66400000000002
4209,108800,Clinopyroxene,EMP,45.4,0.9,8.3,,12.4,0.22,8.3,,,23.6,0.25,0.006,,99.376
4210,108801,Clinopyroxene,EMP,46.0,0.74,10.0,,10.3,0.22,10.7,,,21.0,0.6,0.04,,99.60000000000001
4211,108802,Clinopyroxene,EMP,40.8,0.64,15.0,,8.5,0.12,8.5,,,23.9,0.3,0.005,,97.76499999999999
4212,108803,Clinopyroxene,EMP,41.0,0.7,15.0,,9.5,0.1,8.0,,,23.3,0.19,0.011,,97.801
4214,108805,Clinopyroxene,EMP,37.7,0.63,15.9,,11.0,0.1,7.9,,,25.2,0.06,,,98.49000000000001
4216,108807,Clinopyroxene,EMP,39.5,0.71,15.0,,9.6,0.16,7.3,,,26.0,0.2,0.03,,98.5
4217,108808,Clinopyroxene,EMP,38.3,0.7,20.0,,4.3,0.04,8.3,,,24.8,0.07,0.006,,96.51599999999999
4550,35194,Garnet,EMP,40.08000183,2.119999886,22.12999916,,6.679999828,,21.87000084,,,3.059999943,0.150000006,,,96.090001493
4620,35265,Garnet,no_info,40.20000076,2.599999905,20.29999924,0.039999999,7.400000095,0.25,7.489999771,,,21.60000038,0.600000024,0.090000004,,100.570000178
4621,35266,Garnet,no_info,40.0,2.5,19.70000076,0.029999999,6.5,0.25999999,8.399999619,,,21.10000038,0.389999986,0.189999998,,99.070000732
4628,35273,Garnet,"EMP,SEM",39.43999863,,20.28000069,,30.45999908,5.210000038,2.690000057,,,1.529999971,0.140000001,0.079999998,,99.82999846499999
4629,35274,Garnet,"EMP,SEM",40.0,0.409999996,21.35000038,,28.07999992,3.630000114,4.309999943,,,2.450000048,0.439999998,0.49000001,0.109999999,101.270000408
4630,35275,Garnet,"EMP,SEM",39.09999847,0.310000002,21.57999992,,27.52000046,3.319999933,4.909999847,,,2.849999905,0.280000001,0.129999995,0.439999998,100.439998531
4633,35278,Garnet,"EMP,SEM",38.58000183,0.540000021,20.32999992,,25.57999992,3.390000105,3.359999895,,,6.590000153,0.400000006,0.310000002,0.109999999,99.19000185099999
4637,35282,Garnet,"EMP,SEM",40.22000122,0.569999993,21.09000015,,23.56999969,1.220000029,7.880000114,,,3.910000086,0.330000013,0.280000001,0.550000012,99.620001308
4638,35283,Garnet,"EMP,SEM",38.99000168,0.479999989,21.14999962,,26.64999962,2.359999895,5.849999905,,,3.099999905,0.200000003,0.239999995,0.529999971,99.550000583
4689,35352,Garnet,EMP,39.86000061,0.680000007,22.48999977,,19.75,0.660000026,13.44999981,,,2.710000038,,,,99.600000261
4718,35390,Garnet,EMP,43.00999832,0.370000005,21.20999908,2.609999895,4.139999866,,26.93000031,,,1.019999981,,,,99.28999745700001
4722,35394,Garnet,EMP,42.38000107,0.579999983,19.45999908,4.369999886,5.389999866,,26.03000069,,,1.409999967,,,,99.620000542
4734,35428,Garnet,EMP,29.47999954,9.770000458,2.769999981,,21.04999924,0.25,0.720000029,,,32.54999924,0.280000001,0.079999998,,96.94999848699999
4735,35429,Garnet,EMP,30.15999985,9.420000076,2.730000019,,21.20000076,0.300000012,0.670000017,,,32.66999817,0.300000012,0.100000001,,97.549998917
4736,35430,Garnet,EMP,31.03000069,6.010000229,3.319999933,,22.29999924,0.280000001,0.610000014,,,32.61999893,0.289999992,0.079999998,,96.539999027
4737,35431,Garnet,EMP,31.78000069,5.920000076,3.630000114,,22.45000076,0.270000011,0.629999995,,,32.49000168,0.310000002,0.090000004,,97.57000333200001
4739,35433,Garnet,EMP,28.20000076,14.36999989,1.450000048,,18.47999954,0.699999988,1.029999971,,,32.02999878,1.309999943,,,97.56999892
4741,35435,Garnet,EMP,32.38000107,6.340000153,3.269999981,,22.03000069,0.449999988,0.389999986,,,32.68000031,0.379999995,,,97.92000217299999
4912,42233,Garnet,"EMP, XRD",42.29000092,,22.65999985,2.75999999,5.179999828,,25.47999954,,,1.200000048,,,,99.570000176
4958,42576,Garnet,"EMP, FTIR",37.59999847,1.320000052,19.20000076,,22.89999962,3.210000038,3.75999999,,,10.5,0.07,0.01,,98.56999893000001
4962,42580,Garnet,"EMP, FTIR",37.59999847,1.320000052,19.20000076,,22.89999962,3.210000038,3.75999999,,,10.5,0.07,0.01,,98.56999893000001
4964,42582,Garnet,"EMP, FTIR",37.90000153,0.949999988,20.29999924,,25.10000038,3.099999905,3.789999962,,,8.770000458,0.02,0.01,,99.940001463
4969,42620,Garnet,no_info,43.20000076,,23.20000076,0.449999988,6.480000019,,24.89999962,,,1.279999971,,,,99.510001118
5048,43205,Garnet,EMP,40.41999817,4.440000057,11.26000023,0.529999971,10.32999992,0.140000001,12.60000038,,,19.29000092,0.150000006,0.02,,99.17999965499999
5090,43346,Garnet,EMP,57.68999863,0.059999999,8.680000305,0.469999999,7.150000095,0.409999996,17.56999969,0.01,,2.579999924,6.21999979,0.109999999,,100.949998427
5092,43348,Garnet,EMP,55.84000015,0.07,7.300000191,0.419999987,6.880000114,0.379999995,22.10000038,0.0,,2.710000038,3.75,0.460000008,,99.910000863
5094,43350,Garnet,EMP,53.90999985,0.129999995,9.68999958,0.379999995,6.849999905,0.449999988,20.37000084,0.0,,3.190000057,4.710000038,0.300000012,,99.98000026
5120,43469,Garnet,EMP,40.75999832,,27.85000038,,0.0,,16.94000053,,,12.52999973,0.860000014,,,98.939998974
5129,43478,Garnet,EMP,49.09999847,,17.37000084,,4.960000038,,10.85999966,,,12.28999996,4.420000076,,,98.99999904399999
5579,44873,Garnet,EMP,49.88980103,,14.52029991,,9.313599586,,22.17720032,,,2.149049997,1.950019956,,,99.99997079900001
5580,44874,Garnet,EMP,50.3995018,,14.10919952,,8.287590027,,22.5576992,,,2.821779966,1.824169993,,,99.999940506
5582,44876,Garnet,EMP,47.51010132,,20.37809944,,4.560039997,,24.91769981,,,1.222659945,1.411389947,,,99.99999045899999
5584,44878,Garnet,EMP,61.2378006,,5.015759945,,6.176320076,,16.34269905,,,4.419119835,6.808259964,,,99.99995947
5585,44879,Garnet,EMP,49.45660019,,15.22410011,,8.267510414,,23.55430031,,,2.053270102,1.444129944,,,99.99991107
5590,44884,Garnet,EMP,59.50030136,,3.980649948,,10.74919987,,15.52789974,,,4.01154995,6.230390072,,,99.99999094
5592,44886,Garnet,EMP,60.38249969,,3.954109907,,5.709070206,,17.91250038,,,6.217269897,5.824610233,,,100.000060313
5606,44900,Garnet,EMP,59.30070114,,5.674160004,,7.347030163,,18.11610031,,,3.680840015,5.881219864,,,100.000051496
5689,45139,Garnet,no_info,49.26279831,,18.73520088,,0.0,,12.67920017,,,7.705369949,11.61730003,,,99.999869339
5690,45140,Garnet,no_info,48.71609879,,19.3757,,0.0,,12.61690044,,,7.792059898,11.4993,,,100.000059128
5693,45143,Garnet,no_info,38.28319931,,34.77130127,,0.0,,16.80800056,,,8.038459778,2.098989964,,,99.999950882
5696,45146,Garnet,no_info,46.57009888,,21.92709923,,0.0,,11.38329983,,,10.56669998,9.552709579,,,99.99990749899999
5697,45147,Garnet,no_info,49.66220093,,18.73250008,,0.0,,13.23579979,,,6.269380093,12.10009956,,,99.999980453
5699,45149,Garnet,no_info,44.97180176,,24.57209969,,0.0,,11.65579987,,,9.27050972,9.529800415,,,100.00001145499999
5700,45150,Garnet,no_info,48.60609818,,20.28820038,,0.0,,12.39120007,,,7.317140102,11.39750004,,,100.000138772
5701,45151,Garnet,no_info,53.07149887,,12.34020042,,0.0,,21.42749977,,,5.577819824,7.583010197,,,100.00002908100001
5704,45154,Garnet,no_info,48.00149918,,20.43829918,,0.0,,16.34219933,,,6.446819782,8.771240234,,,100.000057706
5706,45156,Garnet,no_info,41.73770142,,29.67779922,,0.0,,19.27289963,,,6.835529804,2.476099968,,,100.000030042
5707,45157,Garnet,no_info,48.45029831,,20.10160065,,0.0,,9.346289635,,,10.78409958,11.31770039,,,99.999988565
5708,45158,Garnet,no_info,49.15010071,,17.71419907,,0.0,,15.50619984,,,9.01515007,8.614319801,,,99.999969491
5709,45159,Garnet,no_info,47.88159943,,20.50819969,,0.0,,9.533510208,,,10.55780029,11.51889992,,,100.000009538
5711,45161,Garnet,no_info,41.06439972,,30.56940079,,0.0,,19.26269913,,,5.107299805,3.99616003,,,99.999959475
5712,45162,Garnet,no_info,48.97119904,,19.95129967,,0.0,,13.80980015,,,5.165289879,12.10239983,,,99.999988569
5713,45163,Garnet,no_info,46.00249863,,23.75530052,,0.0,,12.54730034,,,7.636610031,10.05830002,,,100.000009541
5714,45164,Garnet,no_info,45.00749969,,24.90449905,,0.0,,16.89509964,,,5.762609959,7.430300236,,,100.00000857500001
5716,45166,Garnet,no_info,42.90259933,,28.68429947,,0.0,,18.22340012,,,4.494619846,5.695010185,,,99.999928951
5718,45168,Garnet,no_info,43.84880066,,26.19300079,,0.0,,20.67440033,,,4.701749802,4.582019806,,,99.999971388
5719,45169,Garnet,no_info,48.1413002,,20.32089996,,0.0,,9.785280228,,,9.799329758,11.95320034,,,100.00001048600001
5720,45170,Garnet,no_info,41.88330078,,28.16469955,,0.0,,11.56210041,,,12.30869961,6.081289768,,,100.000090118
5721,45171,Garnet,no_info,47.40470123,,21.01919937,,0.0,,9.470310211,,,10.37100029,11.73490047,,,100.00011157099999
5725,45175,Garnet,no_info,46.72990036,,22.3946991,,0.0,,10.91639996,,,8.503170013,11.45580006,,,99.999969493
6012,48361,Garnet,EMP,38.4,5.7,6.2,0.3,13.5,0.1,15.5,,,15.5,0.05,,0.61,95.85999999999999
6050,49169,Garnet,EMP,41.12,2.59,16.22,4.08,15.38,0.02,18.18,,,3.2,0.0,0.0,0.0,100.79
6053,49172,Garnet,EMP,40.58,1.38,17.96,3.63,16.16,0.01,16.92,,,2.67,0.02,0.01,0.0,99.34000000000002
6055,49174,Garnet,EMP,39.43,3.13,14.23,3.52,20.17,0.02,14.73,,,4.66,0.01,0.0,0.0,99.9
6057,49176,Garnet,EMP,41.67,3.45,16.53,0.01,16.44,0.42,18.34,,,3.53,0.0,0.0,0.01,100.40000000000002
6091,49506,Garnet,EMP,45.9,0.05,18.1,,7.68,,24.79,,,0.85,0.06,0.0,0.13,97.55999999999999
6095,49510,Garnet,EMP,43.8,0.06,19.53,,9.71,,25.27,,,1.04,0.09,0.0,0.15,99.65
6127,53088,Garnet,EMP,38.22222222,0.93,21.02777778,,16.95,,2.888888889,,,18.41222222,0.25,0.29,,98.971111109
6131,53092,Garnet,EMP,42.06571429,,19.65285714,,19.29571429,,7.962857143,,,7.438571429,1.514,0.408328571,,98.338042863
6140,55660,Garnet,EMP,41.04,0.6,,1.62,6.55,,23.1,,,2.94,0.03,0.0,0.03,75.91
6141,55661,Garnet,EMP,41.3,0.6,,1.57,6.48,,23.3,,,3.1,0.04,0.03,0.03,76.44999999999999
6142,55662,Garnet,EMP,42.4,0.7,,1.34,6.32,,24.6,,,0.46,0.0,0.0,0.0,75.82000000000001
6143,55663,Garnet,EMP,41.5,1.3,,1.1,7.86,,23.1,,,0.5,0.03,0.05,0.0,75.43999999999998
6144,55664,Garnet,EMP,42.5,0.7,,1.43,6.1,,24.8,,,0.43,0.0,0.0,0.0,75.96000000000001
6145,55665,Garnet,EMP,42.79,0.52,,0.95,6.06,,25.9,,,1.25,0.03,0.0,0.02,77.52000000000001
6196,57396,Garnet,EMP,41.69,1.62,21.21,,22.56,,6.29,,,7.16,0.94,0.22,,101.68999999999998
6200,57479,Garnet,EMP,40.2,0.12,24.1,,7.4,0.2,7.7,,,19.9,0.06,,,99.67999999999999
6262,61800,Garnet,EMP,41.04,0.6,,1.62,6.55,,23.1,,,2.94,0.03,0.0,0.03,75.91
6263,61801,Garnet,EMP,41.3,0.6,,1.57,6.48,,23.3,,,3.1,0.04,0.03,0.03,76.44999999999999
6264,61802,Garnet,EMP,42.4,0.7,,1.34,6.32,,24.6,,,0.46,0.0,0.0,0.0,75.82000000000001
6265,61803,Garnet,EMP,41.5,1.3,,1.1,7.86,,23.1,,,0.5,0.03,0.05,0.0,75.43999999999998
6266,61804,Garnet,EMP,42.5,0.7,,1.43,6.1,,24.8,,,0.43,0.0,0.0,0.0,75.96000000000001
6267,61805,Garnet,EMP,42.79,0.52,,0.95,6.06,,25.9,,,1.25,0.03,0.0,0.02,77.52000000000001
6308,65212,Garnet,EMP,40.2,,22.8,,25.4,,11.0,,,,0.18,0.14,,99.72000000000001
6760,36398,Muscovite,"EMP,SEM",45.77000046,0.680000007,33.16999817,,2.799999952,,1.409999967,,,0.280000001,1.99000001,7.579999924,,93.67999849099999
6761,36399,Muscovite,"EMP,SEM",45.09999847,1.00999999,32.33000183,,3.200000048,,2.130000114,,,0.389999986,1.789999962,7.880000114,,93.83000051399999
6762,36400,Muscovite,"EMP,SEM",47.43000031,1.019999981,30.86000061,,3.440000057,,2.839999914,,,0.610000014,2.00999999,7.389999866,,95.60000074199998
6763,36401,Muscovite,"EMP,SEM",45.97999954,1.429999948,31.11000061,,2.690000057,,2.980000019,,,,1.139999986,9.149999619,0.02,94.49999977899999
6764,36402,Muscovite,"EMP,SEM",46.56000137,1.190000057,31.39999962,,2.619999886,,2.049999952,,,0.029999999,1.00999999,8.880000114,0.050000001,93.790000989
6765,36403,Muscovite,EMP,48.22999954,0.239999995,32.0,,2.470000029,,0.970000029,,,0.07,0.170000002,9.43999958,,93.58999917500002
